source_url,source_title,collection,source_kind,authors,years,entry_count
https://automata.exchange/23.04-bounds-length-coverability-vass/,,Automata Exchange,original_collection,Wojciech Czerwiński,2023,1
https://automata.exchange/23.06-target-for-pushdown-rbn/,,Automata Exchange,original_collection,Corto Mascle,2023,1
https://automata.exchange/23.07-time-complexity-coverability-unary-1-vass/,,Automata Exchange,original_collection,Henry Sinclair-Banks,2023,1
https://automata.exchange/23.08-linear-loop-synthesis/,,Automata Exchange,original_collection,Anton Varonka,2023,1
https://automata.exchange/24.01-how-is-a-star-1-over-1-minus-a/,,Automata Exchange,original_collection,Benjamin Lucien Kaminski,2024,1
https://automata.exchange/24.02-positional-nash-equilibria/,,Automata Exchange,original_collection,Antonio Casares,2024,1
https://automata.exchange/24.03-bi-reachability-in-petry-nets-with-ordered-data/,,Automata Exchange,original_collection,Łukasz Kamiński,2024,1
https://automata.exchange/24.04-language-equivalence-between-nondeterministic-and-deterministic-one-counter-machines/,,Automata Exchange,original_collection,Aditya Prakash,2024,1
https://automata.exchange/24.05-properties-of-the-value-function-in-weighted-timed-games/,,Automata Exchange,original_collection,Julie Parreaux,2024,1
https://automata.exchange/24.06-emptiness-checking-for-3-clock-timed-automata-with-additive-constraints/,,Automata Exchange,original_collection,R. Govind,2024,1
https://automata.exchange/24.07-minimality-for-deterministic-suffix-reading-automata/,,Automata Exchange,original_collection,B Srivathsan,2024,1
https://automata.exchange/24.08-coverability-in-wait-only-networks-with-non-blocking-bounded-sendings/,,Automata Exchange,original_collection,Lucie Guillou,2024,1
https://automata.exchange/24.09-is-the-hierarchy-of-valence-systems-with-open-reachability-proper/,,Automata Exchange,original_collection,Lia Schütze,2024,1
https://automata.exchange/24.10-functions-weakly-computable-by-vector-addition-systems/,,Automata Exchange,original_collection,Roland Guttenberg,2024,1
https://automata.exchange/24.11-membership-of-a-coverability-vass-in-fo2/,,Automata Exchange,original_collection,Vincent Michielini,2024,1
https://automata.exchange/24.12-fine-grained-complexity-of-reachability-in-one-counter-automata/,,Automata Exchange,original_collection,A. R. Balasubramanian,2024,1
https://automata.exchange/24.13-satisfiability-of-string-constraints-with-subsequence-relation/,,Automata Exchange,original_collection,C. Aiswarya,2024,1
https://automata.exchange/24.14-extending-asynchronous-subtyping-for-binary-session-types/,,Automata Exchange,original_collection,Amrita Suresh,2024,1
https://automata.exchange/24.15-games-under-delays-and-loss/,,Automata Exchange,original_collection,Ashwani Anand,2024,1
https://automata.exchange/24.16-speed-of-victory-in-adversarial-population-games/,,Automata Exchange,original_collection,Corto Mascle,2024,1
https://automata.exchange/24.17-monotone-regular-functions/,,Automata Exchange,original_collection,Nathan Lhote,2024,1
https://automata.exchange/24.18-lower-bounds-for-determinizability-of-weighted-automata-over-Q/,,Automata Exchange,original_collection,Nathan Lhote,2024,1
https://automata.exchange/24.19-reachability-in-reversible-data-vass/,,Automata Exchange,original_collection,Arka Ghosh,2024,1
https://automata.exchange/25.1-complexity-of-generalised-reachability-games-with-target-sets-of-size-2/,,Automata Exchange,original_collection,Sarah Winter,2025,1
https://automata.exchange/25.10-fine-grained-complexity-for-vas-boundedness/,,Automata Exchange,original_collection,Lia Schütze,2025,1
https://automata.exchange/25.11-logical-characterisation-of-deterministic-buchi-register-automata/,,Automata Exchange,original_collection,Mrudula Balachander,2025,1
https://automata.exchange/25.12-complexity-of-reachability-in-fixed-dimensional-continuous-vass/,,Automata Exchange,original_collection,A. R. Balasubramanian,2025,1
https://automata.exchange/25.13-learning-1-dta/,,Automata Exchange,original_collection,Kyveli Doveri,2025,1
https://automata.exchange/25.14-complexity-of-explorability-games-on-temporal-graphs/,,Automata Exchange,original_collection,Sougata Bose,2025,1
https://automata.exchange/25.15-complexity-of-maximising-reachability-for-target-sets-of-size-1/,,Automata Exchange,original_collection,Sougata Bose,2025,1
