Learning theory
TCS-0023 [index;landmark;uncertain] Learning growing-size DNFs under uniform inputs
TCS-1320 [index;source_question_passage;uncertain] Tight Sample Complexity of Transformers | Two questions remain open: (1) Is teacher forcing universally optimal for general hypothesis classes?
TCS-1349 [index;source_question_passage;uncertain] Strong (D)QBF Dependency Schemes via Pure Paths with Applications to Proof Checking | As with Drrs , it is unknown whether Qute can soundly use D∀pure for term learning (to prove truth of formulas), so we only turn […]
TCS-1360 [index;source_question_passage;uncertain] Accelerated Mirror Descent for Non-Euclidean Star-convex Functions | For the constrained non-convex case, since evaluating the direction of the constrained proximal step becomes a challenge, it is unknown if accelerated convergence rates are […]
TCS-1361 [index;source_question_passage;uncertain] On efficient robust regression with subquadratic samples | We leave open √the problem of whether there is an efficient algorithm that uses n = Õ(dε2 κ2 ) samples when κ ⩽ d and […]
TCS-1363 [index;source_question_passage;uncertain] Rate-optimal community detection near the KS threshold via node-robust algorithms | We leave as an open problem whether there exist polynomial-time algorithms that achieve the optimal error rate exp(−Cd,ε /k) under the weaker condition ε2 d […]
TCS-1364 [index;source_question_passage;uncertain] Nearly Linear-Time User-Level DP-SCO with Optimal Rates | Naively inserting a robust estimator at each step fails to attain optimal rates: privatizing every iterate over- √ whelms utility (we conjecture ∼ O(1/ n) […]
TCS-1366 [index;source_question_passage;uncertain] Language Generation with Infinite Contamination | Legend: (C) = characterization of which collections achieve the guarantee (otherwise achievable for all countable collections); (R) = reduction from set-based to element-based density (Theorem […]
TCS-1385 [index;source_question_passage;uncertain] A Canonical Generalization of OBDD | Second, and related to this, the question of finding a good vtree in practice remains open.
TCS-1392 [index;source_question_passage;uncertain] Tight Bounds for Logistic Regression with Large Stepsize Gradient Descent in Low Dimension | We leave this problem of tightly characterizing the transition time in general dimension open for future work.
TCS-1393 [index;source_question_passage;uncertain] Recursively Enumerably Representable Classes and Computable Versions of the Fundamental Theorem of Statistical Learning | We conjecture that this is not the case, in other words eVCdim(H) = ∞, whenever H contains even a single uncomputable hypothesis.
TCS-1396 [index;source_question_passage;uncertain] Truly Adapting to Adversarial Constraints in Constrained MABs | First, we state the result that we conjecture may be a valid lower bound for our setting.
TCS-1441 [index;source_question_passage;uncertain] Samplability Makes Learning Easier | Likewise, is there a variant of Littlestone dimension that characterizes the optimal mistake bound against efficient online adversaries?
TCS-1478 [index;source_question_passage;uncertain] Distribution-Free Sequential Prediction with Abstentions | It remains open whether one can remove such constraints and achieve successful learning for all VC classes, which leads to the following open question:
TCS-1482 [index;source_question_passage;uncertain] Learning and Testing Convex Functions | We leave as an open question whether our npoly(L/ε) CSQ lower bound can be extended to the full SQ model, or whether our problem witnesses […]
TCS-1500 [index;source_question_passage;uncertain] On the Hardness of Learning Regular Expressions | As a direction for future work, we point out that to the best of our knowledge, it is still unknown whether there exists a tractable […]
TCS-1501 [index;source_question_passage;uncertain] Large Average Subtensor Problem: Ground-State, Algorithms, and Algorithmic Barriers | Our results show that while the case k = Θ(N ) remains open for submatrices, it can be rigorously analyzed for tensors in the large […]
TCS-1506 [index;source_question_passage;uncertain] Testing Noise Assumptions of Learning Algorithms | This gives a polynomial-time algorithm when c is constant, but we leave it as an interesting open question whether the dependence on 1/c can be […]
TCS-1541 [index;source_question_passage;uncertain] A Characterization of List Regression | Given any hypothesis class H ⊆ [0, 1]X that has finite (γ, k)-fat shattering dimension for all γ, can we construct a list hypothesis class […]
TCS-1542 [index;source_question_passage;uncertain] Proofs as Explanations: Short Certificates for Reliable Predictions | Can we construct general-purpose reweighting schemes (possibly employing some form of iterated multiplicative weights like AdaBoost) that do not require knowing D, but implicitly converge […]
TCS-1564 [index;source_question_passage;uncertain] Reliable Active Apprenticeship Learning | We conjecture the optimal query complexity of reliable active apprenticeship learning under the mixed margin condition always matches the lower bound in Theorem 12 up […]
TCS-1575 [index;source_question_passage;uncertain] Compositional Active Learning of Synchronizing Systems Through Automated Alphabet Refinement | Finding efficient ways to explore multiple discrepancy choices for globally optimal distributions remains an open challenge for future work.
TCS-1625 [index;source_question_passage;uncertain] Learning Tree Pattern Transformations | Is LearningTreeTransformations in PTime when fixing s = 1 and def r = 1?
TCS-1629 [index;source_question_passage;uncertain] Query Languages for Neural Networks | Importantly, how about other activations than ReLU [34]?
TCS-1650 [index;source_question_passage;uncertain] A Universal Uniform Approximation Theorem for Neural Networks | What about its width and depth?
TCS-1692 [index;source_question_passage;uncertain] Computational Intractability of Strategizing against Online Learners | Can the runtime depend exponentially only on min(|𝒜|, |ℬ|)?
TCS-1695 [index;source_question_passage;uncertain] Data Selection for ERMs | One natural question that remains open is to refine the rates in Item 2.
TCS-1737 [index;source_question_passage;uncertain] Routing Few Robots in a Crowded Network | Even in the special case where |R| = |M|, the fixed-parameter tractability of planar GCMP when parameterized by the number |R| of robots remains open; […]
TCS-1739 [index;source_question_passage;uncertain] Computing High-dimensional Confidence Sets for Arbitrary Distributions | We leave as an open question whether or not there exists a polynomial time (improper) learning algorithm that obtains an O(1) volume approximation in the […]
TCS-1740 [index;source_question_passage;uncertain] A Theory of Learning with Autoregressive Chain of Thought | We leave it as an open question whether it is possible to improve the time-invariant construction of Lemma 12, and reduce the required dimensionality, and […]
TCS-1744 [index;source_question_passage;uncertain] The Parameterized Complexity of Learning Monadic Second-Order Logic | However, it remains open whether our tractability results could also be lifted to this version of the problem.
TCS-1767 [index;source_question_passage;uncertain] Spike-and-Slab Posterior Sampling in High Dimensions | Whether our theoretical guarantees extend to these settings remains open and an important direction for future work.
TCS-1774 [index;source_question_passage;uncertain] Near-Optimal Averaging Samplers and Matrix Samplers | Is there a way to eliminate the additional α in the sample complexity?
TCS-1885 [index;source_question_passage;uncertain] The Dimension Strikes Back with Gradients: Generalization of Gradient Methods in Stochastic Convex Optimization | We note however that there is still a small polynomial gap between our sample complexity lower bounds to the known (nearly tight) bounds for generic […]
TCS-1889 [index;source_question_passage;uncertain] Learning general Gaussian mixtures with efficient score matching | Bakshi et al. (2022), do not need to assume a condition number or radius bound like in Theorem 1, and we leave as an important […]
TCS-1890 [index;source_question_passage;uncertain] Spherical Dimension | While there are no clear ways of doing this, it can be a viable prospect of attack on these conjectures, and might be of independent […]
TCS-1920 [index;source_question_passage;uncertain] Evolving Distributions Under Local Motion | We conjecture that our principal results extend to this generalization as well, given a suitable range counting
TCS-1941 [index;source_question_passage;uncertain] The Dimension of Self-Directed Learning | For some fixed d ∈ N and ∀n ∈ N, does there exist a concept class Hdn over some instance space X in the binary […]
TCS-1943 [index;source_question_passage;uncertain] Simple online learning with consistent oracle | What is the minimal C > 0 such that for all d there exists an online learning algorithm in the model with consistent oracle, making […]
TCS-2064 [index;source_question_passage;uncertain] Concentration of empirical barycenters in metric spaces | We do not know whether a dimension free bound can be achieved in CAT(κ) spaces for κ > 0.
TCS-2065 [index;source_question_passage;uncertain] Majority-of-Three: The Simplest Optimal Learner? | Fix a function class F ⊆ {0, 1}X with VC dimension d.
TCS-2068 [index;source_question_passage;uncertain] Undetectable Watermarks for Language Models | It remains an open problem to find the strongest model of editing to which undetectable watermarks can be robust.
TCS-2070 [index;source_question_passage;uncertain] Adversarial Online Learning with Temporal Feedback Graphs | There exists a constant γ such that for any temporal feedback graph S, UB(S)/ILB(S) ≤ γ.
TCS-2071 [index;source_question_passage;uncertain] On the sample complexity of parameter estimation in logistic regression with normal design | However, we do not know if such subgradient methods minimize the objective over the nonconvex domain S d−1 .
TCS-2072 [index;source_question_passage;uncertain] Optimistic Rates for Learning from Label Proportions | However, we conjecture that sample splitting is not required for the guarantee in Corollary 7.
TCS-2073 [index;source_question_passage;uncertain] Dimension-free Structured Covariance Estimation | We also leave open the question if the rate of convergence in Theorem 2.5 is optimal in the minimax sense.
TCS-2110 [index;source_question_passage;uncertain] Online Infinite-Dimensional Regression: Learning Linear Operators | We conjecture that lowerbound is loose for p ∈ [1, 2), and one can obtain faster rates using some adaptation of the seminal Vovk-Azoury-Warmuth forecaster […]
TCS-2111 [index;source_question_passage;uncertain] Efficiently Learning One-Hidden-Layer ReLU Networks via SchurPolynomials | The existence of a fully-polynomial time algorithm remains open even for the special case of positive weights, where the best known algorithm (Diakonikolas and Kane, […]
TCS-2115 [index;source_question_passage;uncertain] The Limits and Potentials of Local SGD for Distributed Heterogeneous Learning with Intermittent Communication | Local SGD can dominate mini-batch SGD over the problem class PτH,Q,B,σ ∩ PζH,B,σ ⋆ in the regime when τ, QB ≪ H and σ, ζ⋆ […]
TCS-2133 [index;source_question_passage;uncertain] Learning Arithmetic Formulas in the Presence of Noise: A General Framework and Applications to Unsupervised Learning | Our algorithm efficiently recovers the unknown parameters for smoothed instances of mixtures of zero-mean Gaussians.
TCS-2147 [index;source_question_passage;uncertain] Metalearning with Very Few Samples Per Task | We leave it as an open question to determine if one can match the sample complexity bounds we obtain from our reduction via proper metalearning.
TCS-2149 [index;source_question_passage;uncertain] Harmonics of Learning: Universal Fourier Features Emerge in Invariant Networks | Due to its open-ended nature, this work is subject to a number of limitations and leaves directions open for future investigation.
TCS-2150 [index;source_question_passage;uncertain] Improved High-Probability Bounds for the Temporal Difference Learning Algorithm via Exponential Stability | To the best of our knowledge, it is an open problem to develop a version of this algorithm which would be oblivious to tmix .
TCS-2151 [index;source_question_passage;uncertain] Multiple-output composite quantile regression through an optimal transport lens | We conjecture that this is likely due to an artifact of our proof.
TCS-2230 [index;source_question_passage;uncertain] Training Multi-Layer Over-Parametrized Neural Network in Subquadratic Time | Can we adapt their techniques to neural network training?
TCS-2255 [index;source_question_passage;uncertain] Optimal score estimation via empirical Bayes smoothing | Determining the optimal rate of estimating β-Hölder scores with β > 1 remains an open question. 2
TCS-2269 [index;source_question_passage;uncertain] Tight Bounds for Local Glivenko-Cantelli | Exact non-asymptotic bounds would be of particular interest, but to the best of our knowledge even characterizing the asymptotic behavior of the maximum deviation for […]
TCS-2271 [index;source_question_passage;uncertain] Predictor-Rejector Multi-Class Abstention: Theoretical Analysis and Algorithms | Recall that in Section 4.1 and Section 4.2, the (H, R)- consistency bounds guarantees (applicable to all distributions without any assumptions) indicate that both our […]
TCS-2272 [index;source_question_passage;uncertain] Adversarial Online Collaborative Filtering | Our algorithm O RCA∗ only exploits similarities among items – we leave it as an open problem to adapt our methodology in order to exploit […]
TCS-2274 [index;source_question_passage;uncertain] Universally Instance-Optimal Mechanisms for Private Statistical Estimation | It is instructive to note that our rates match the optimal rates for binary hypothesis testing when m = 2, implying that the sample complexity […]
TCS-2275 [index;source_question_passage;uncertain] The Star Number and Eluder Dimension: Elementary Observations About the Dimensions of Disagreement | However, the technique in the proof of Theorem 3 does not seem sufficient to establish this, and we leave open the question of whether VC(D(C)) […]
TCS-2296 [index;source_question_passage;uncertain] Sampling from the Mean-Field Stationary Distribution | For example, can the sharp rate in Theorem 4 be extended to stronger metrics such as Rényi divergences, as well as to situations when the […]
TCS-2310 [index;source_question_passage;uncertain] Robust Bichromatic Classification Using Two Lines | In particular, are our algorithms for computing a halfplane minimizing kR optimal, and in case of wedges (where the problem is asymmetric) is minimizing the […]
TCS-2337 [index;source_question_passage;uncertain] Learning Hidden Markov Models Using Conditional Samples | Is there a computationally efficient algorithm for learning any low rank distribution given access to a conditional sampling oracle?
TCS-2389 [index;source_question_passage;uncertain] Learned Monotone Minimal Perfect Hashing | It remains an open problem whether the idea works in practice, especially when the distribution of keys inside the bucket is skewed.
TCS-2422 [index;source_question_passage;uncertain] Regularization of Low Error PCPs and an Application to MCSP | It remains open whether learning sparse parities by small programs is NP-hard.
TCS-2453 [index;source_question_passage;uncertain] Toward L_∞Recovery of Nonlinear Functions: A Polynomial Sample Complexity Bound for Gaussian Random Fields | The α = 0 case is subtle for both L2 - and L∞ -recovery and we leave it as an open question for future work.
TCS-2454 [index;source_question_passage;uncertain] Ticketed Learning–Unlearning Schemes | For example, can we get TILU schemes for all concept classes with VC- dimension d, whose space complexity scales as poly(d, log(n), log(|X |))?
TCS-2455 [index;source_question_passage;uncertain] Semi-Random Sparse Recovery in Nearly-Linear Time | Of course, we do not know which rows belong to G, so it remains to show how to choose a “competitive” wt .
TCS-2459 [index;source_question_passage;uncertain] On The Computational Complexity of Self-Attention | Finally, we leave the door open for the possibility of randomized algorithms that achieve sub-quadratic complexity and are correct with high probability.
TCS-2461 [index;source_question_passage;uncertain] Limitations of Information-Theoretic Generalization Bounds for Gradient Descent Methods in Stochastic Convex Optimization | It is an open question to show that such limitations exist for the subclasses of SCO problems with smooth or strongly-convex loss functions.
TCS-2462 [index;source_question_passage;uncertain] Dealing with Unknown Variances in Best-Arm Identification | Finally, in the fixed-budget setting, characterizing the impact of not knowing the variances on the probability of misidentifying the best-arm is still an open problem.
