Learning theory
TCS-0023 [index;landmark;uncertain] Learning growing-size DNFs under uniform inputs
TCS-3137 [index;source_question_passage;uncertain] On Undecided LP, Clustering and Active Learning | The challenge is that despite Ki being simple (i.e., having few faces), we do not know how to sample uniformly and efficiently from V ∩ […]
TCS-3143 [index;source_question_passage;uncertain] Adversarially Robust Low Dimensional Representations | Finally we remark that we get the stronger computationally efficient guarantee for the spectral norm error (as for the Frobenius norm error) if we can […]
TCS-3144 [index;source_question_passage;uncertain] PAC-Bayes, MAC-Bayes and Conditional Mutual Information: Fast rate bounds that handle general VC classes | One point which remains open for future research is the fact that, unless we use ERM and we deal with losses like the squared error […]
TCS-3145 [index;source_question_passage;uncertain] Group testing and local search: is there a computational-statistical gap? | In other words, we conjecture that the use of stochastic local search (positive temperature local MCMC methods) would be necessary for success at rates close […]
TCS-3167 [index;source_question_passage;uncertain] Sunflowers in Set Systems of Bounded Dimension | Although we made progress in this paper, it still remains open for families of bounded VC-dimension.
TCS-3169 [index;source_question_passage;uncertain] Thinking Inside the Ball: Near-Optimal Minimization of the Maximal Loss | We conjecture that our lower bound is in fact optimal in both smoothness regimes.
TCS-3170 [index;source_question_passage;uncertain] Black-Box Control for Linear Dynamical Systems | As far as we know, our lower bound does not prohibit such a method and this possibility remains open.
TCS-3172 [index;source_question_passage;uncertain] Towards a Dimension-Free Understanding of Adaptive Linear Control | It is an open question whether this measure of complexity can be made even sharper in some settings.
TCS-3221 [index;source_question_passage;uncertain] Tight Hardness Results for Training Depth-2 ReLU Networks | For instance, is it possible to prove running time lower bounds that grow with the depth of the network?
TCS-3277 [index;source_question_passage;uncertain] Intervention Efficient Algorithms for Approximate Learning of Causal Graphs | We conjecture that if |E| = O(n), a constant approximation for our objectives is not possible (assuming standard complexity theoretic conjectures) if we must separate […]
TCS-3278 [index;source_question_passage;uncertain] Subspace Embeddings under Nonlinear Transformations | We expect that m = Ω(k log n) dependence is required for the class of functions considered in this paper, but proving this is an […]
TCS-3279 [index;source_question_passage;uncertain] A case where a spindly two-layer linear network decisively outperforms any neural network with a fully connected input layer | However we do not know how to generalize the above and below theorems for Gaussian instances from the square loss to a larger class of […]
TCS-3296 [index;source_question_passage;uncertain] The Effects of Mild Over-parameterization on the Optimization Landscape of Shallow ReLU Neural Networks | With that said, we conjecture that this term is actually non-negative, at least in a close
TCS-3303 [index;source_question_passage;uncertain] What relations are reliably embeddable in Euclidean space? | What characterization can be given for the minimum dimension of a translational embedding of a dag?
TCS-3304 [index;source_question_passage;uncertain] ID3 Learns Juntas for Smoothed Product Distributions | Can gradient-descent learn neural-networks when the target function is a k- Junta, in the smoothed analysis setting?
TCS-3306 [index;source_question_passage;uncertain] Balancing Gaussian vectors in high dimension | What is the smallest possible value of |Xσ|∞ that can be achieved algorithmically in polynomial time?
TCS-3310 [index;source_question_passage;uncertain] Costly Zero Order Oracles | In other words, given any set X ∈ R2 , can you always find a triangle T with vertices in X so that X is […]
TCS-3388 [index;source_question_passage;uncertain] Pessimism About Unknown Unknowns Inspires Conservatism | Finding the strongest notion of optimality attainable in general environments is an open problem (Hutter, 2009a).
TCS-3390 [index;source_question_passage;uncertain] Locally Private Hypothesis Selection | The natural questions are, if we expend more rounds, can we reduce the sample complexity?
TCS-3391 [index;source_question_passage;uncertain] The EM Algorithm gives Sample-Optimality for Learning Mixtures of Well-Separated Gaussians | However, it is still unknown whether it is possible to learn a mixture of well-separated Gaussians in polynomial time with polynomial sample complexity.
TCS-3427 [index;source_question_passage;uncertain] On Learning Causal Structures from Non-Experimental Data without Any Faithfulness Assumption | Although they concern causal learning problems that involve only categorical variables, we conjecture that they can be generalized to cover some other causal learning problems, […]
TCS-3428 [index;source_question_passage;uncertain] Learning Polynomials in Few Relevant Dimensions | While we can currently show that there is at least one such eigenvalue, we do not know if the matrix M τ has rank at […]
TCS-3429 [index;source_question_passage;uncertain] Halpern Iteration for Near-Optimal and Parameter-Free Monotone Inclusion and Strong Solutions to Variational Inequalities | We conjecture that the optimal complexity of monotone inclusion is: (i) Θ( LD 1 L LD ) when the operator is either L-Lipschitz or L […]
TCS-3430 [index;source_question_passage;uncertain] Information Theoretic Optimal Learning of Gaussian Graphical Models | From a theoretical point of view, a fundamental question remains open – what is the minimal computational complexity of any algorithm that can achieve the […]
TCS-3450 [index;source_question_passage;uncertain] Distribution Free Learning with Local Queries | We conjecture that for some a > 0 even (na )-local queries won’t lead to efficient distribution free algorithms for these classes.
TCS-3554 [index;source_question_passage;uncertain] Hard Problems on Random Graphs | We believe that more complicated techniques beyond the scope of this paper prove a generalization to even non-computable numbers, but we leave it as an […]
TCS-3563 [index;source_question_passage;uncertain] Cautious Limit Learning | While these only serve as a first step to search for Bc-locking sequences, it remains open how these searches can be beneficial in other settings, […]
TCS-3566 [index;source_question_passage;uncertain] Faster Projection-free Online Learning | It thus remains open to obtain a ε−3 -complexity algorithm for general convex sets that does not depend on the dimension, or show that this […]
TCS-3567 [index;source_question_passage;uncertain] Logsmooth Gradient Concentration and Tighter Runtimes for Metropolized Hamiltonian Monte Carlo | We note averaging has been observed to improve sampling accuracy in a different setting Durmus et al. (2019a); we leave as an interesting open direction […]
TCS-3587 [index;source_question_passage;uncertain] Sorted Top-k in Rounds | Get tight (up to a constant factor) sample complexity bounds for the noiseless case when r > 2.
TCS-3588 [index;source_question_passage;uncertain] Approximating the Norms of Graph Spanners | 4 Generalizations and Open Questions While we provided approximation and hardness bounds for Minimum `2 -Norm 3-Spanner, the true approximability still remains open.
TCS-3659 [index;source_question_passage;uncertain] Online Non-Additive Path Learning under Full and Partial Information | Is it possible to construct A0 gradually as the learner goes through trials?
TCS-3661 [index;source_question_passage;uncertain] Active Regression via Linear-Sample Sparsification | Ideally each KDi would be O(d), but we do not know how to produce such distributions while still getting linear sample spectral D(xi ) sparsification.
TCS-3666 [index;source_question_passage;uncertain] The Gap Between Model-Based and Model-Free Methods on the Linear Quadratic Regulator: An Asymptotic Viewpoint | Designing efficient baselines is still an open problem in RL, and understanding limiting behavior of different estimators could lead to new insights.
TCS-3668 [index;source_question_passage;uncertain] Consistent Digital Curved Rays and Pseudoline Arrangements | Although we have a generalization of CDS to handle some families of curves, there are a lot of questions to invest further: For example, we […]
TCS-3688 [index;source_question_passage;uncertain] A minimax near-optimal algorithm for adaptive rejection sampling | The extension of the NNARS algorithm to non lower-bounded densities is still an open question, as well as the development of an optimal adaptive rejection […]
TCS-3689 [index;source_question_passage;uncertain] Optimal Collusion-Free Teaching | While the general relationship between NCTD and VCD remains open, it is now known that NCTD(C) is upper-bounded by VCD(C) when C is a finite […]
TCS-3691 [index;source_question_passage;uncertain] Learning from Weakly Dependent Data under Dobrushin’s Condition | We could not derive such bounds for distributions satisfying Dobruhsin’s condition and we do not know if such bounds apply for all classes of finite […]
TCS-3694 [index;source_question_passage;uncertain] String Matching: Communication, Circuits, and Learning | Our bounds are near-optimal for small k, but for large k ≥ Ω(n), we leave open a mysterious exponential gap.
TCS-3710 [index;source_question_passage;uncertain] Sequential change-point detection: Laplace concentration of scan statistics and non-asymptotic delay bounds | We leave the derivation of (doubly-time uniform) joint concentration inequalities in this context as an open question.
TCS-3711 [index;source_question_passage;uncertain] Reasoning in Bayesian Opinion Exchange Networks Is PSPACE-Hard | On the other hand, we do not know how to improve on this algorithm even for t = 2.
TCS-3712 [index;source_question_passage;uncertain] Making the Last Iterate of SGD Information Theoretically Optimal | We conjecture that this gap is fundamental and every any-time algorithm would suffer from the extra log T factor.
TCS-3759 [index;source_question_passage;uncertain] On the Algorithmic Power of Spiking Neural Networks | Could it be helpful in related computational tasks such as fast Fourier transform (FFT) or sparse matrix-vector multiplication?
TCS-3764 [index;source_question_passage;uncertain] Random Projection in the Brain and Computation with Assemblies of Neurons | Can assemblies perform learning (supervised or unsupervised)?
TCS-3796 [index;source_question_passage;uncertain] Jointly Embedding Multiple Single-Cell Omics Measurements | We pretend that we do not know the correspondence information, run our MMD-MA algorithm, and see how well our algorithm can align the two manifolds […]
TCS-3798 [index;source_question_passage;uncertain] Sharp Analysis for Nonconvex SGD Escaping from Saddle Points | While this work focuses on sharpened convergence rate, there are still some important questions left: (i) It is still unknown whether SGD achieves a rate […]
TCS-3827 [index;source_question_passage;uncertain] How do infinite width bounded norm networks look in function space? | How does this play out for f : Rd → Rk in function space with ReLU networks?
TCS-3908 [index;source_question_passage;uncertain] Minimax Rates and Efficient Algorithms for Noisy Sorting | For the MS algorithm, it remains an open question whether analogous upper bounds can be established for sampling without replacement.
TCS-3911 [index;source_question_passage;uncertain] Parameterized Approximation Algorithms for Bidirected Steiner Network Problems | We leave open whether a similar inapproximability result can be obtained for the other obvious generalization of bi-DSNPlanar , in which the input graph is […]
TCS-3926 [index;source_question_passage;uncertain] Lossy Kernels for Connected Dominating Set on Sparse Graphs | We remark that we do not know how to prove the existence of a small c-exchange distance-r domination core (a generalization needed for r-CDS) on […]
TCS-3934 [index;source_question_passage;uncertain] Polynomial Time and Sample Complexity for Non-Gaussian Component Analysis: Spectral Methods | Conjectures and questions We conjecture that R EWEIGHTED PCA actually recovers the entire non-Gaussian subspace E with in polynomial time and sample complexity if we […]
TCS-3935 [index;source_question_passage;uncertain] Averaging Stochastic Gradient Descent on Riemannian Manifolds | We leave it as an open problem to understand the convergence of the iterate-averaged, constant step-size algorithm in the case of Gaussian noise (Bougerol and […]
TCS-3954 [index;source_question_passage;uncertain] Non-Convex Matrix Completion Against a Semi-Random Adversary | Since we do not know how to obtain a deterministic version of Lemma 12, we turn our attention to Lemma 13.
TCS-3999 [index;source_question_passage;uncertain] Coresets for Fuzzy K-Means with Applications | Finally, can we relate the hardness of fuzzy K-means directly to K-means?
TCS-4030 [index;source_question_passage;uncertain] Near-Optimal Sample Complexity Bounds for Maximum Likelihood Estimation of Multivariate Log-concave Densities | In particular, is the log-concave MLE sample-optimal for d ≥ 4?
TCS-4133 [index;source_question_passage;uncertain] Stochastic Composite Least-Squares Regression with Convergence Rate $O(1/n)$ | We conjecture that in the setting of Assump- √ tion (A5), the lower bound is O(1/ n) as well.
TCS-4134 [index;source_question_passage;uncertain] Inapproximability of VC Dimension and Littlestone’s Dimension | A related question which remains open, originally posed by Ben-David and Eiron Ben-David and Eiron (1998), is that of computing the self-directed learning4 mistake bound.
TCS-4135 [index;source_question_passage;uncertain] On Learning vs. Refutation | Can we give evidence that no subexponential-time algorithm exists under a stronger version of Feige’s assumption?
TCS-4137 [index;source_question_passage;uncertain] Universality of Bayesian mixture predictors | However, the question of whether the upper and the lower values coincide remains open.
TCS-4164 [index;source_question_passage;uncertain] The Power of Random Counterexamples | In particular, we conjecture that a learning algorithm that hypothesizes a randomly chosen consistent row uses an expected O(log n) equivalence queries with random counterexamples […]
TCS-4165 [index;source_question_passage;uncertain] Erasing Pattern Languages Distinguishable by a Finite Number of Strings | We leave a number of open problems, most notably: (i) for alphabet sizes 2 and 3, characterize the patterns that are finitely distinguishable and determine […]
TCS-4182 [index;source_question_passage;uncertain] Exact tensor completion with sum-of-squares | We leave it as an P open problem whether this can be done.
TCS-4217 [index;source_question_passage;uncertain] Computational Tradeoffs in Biological Neural Networks: Self-Stabilizing Winner-Take-All Networks | How do fixed network motifs such as WTA circuits interact with more flexible ‘learning’ networks?
TCS-4219 [index;source_question_passage;uncertain] The Classification of Reversible Bit Operations | What are the tradeoffs, if any, between the number of gates and the number of ancilla bits?
TCS-4256 [index;source_question_passage;uncertain] The Sample Complexity of Optimizing a Convex Function | The challenge with using this approach is that the label of the samples is not known for the classification, i.e., | | given (x, f […]
TCS-4265 [index;source_question_passage;uncertain] What Circuit Classes Can Be Learned with Non-Trivial Savings? | Can other proof techniques from circuit complexity, such as Razborov’s method of approximations for monotone circuit lower bounds [35, 36] or the “polynomial method” for […]
TCS-4289 [index;source_question_passage;uncertain] Hitting Set for Hypergraphs of Low VC-dimension | Finally, we leave open the question whether Hitting Set is even W [2]-hard on set systems of bounded VC-dimension.
TCS-4328 [index;source_question_passage;uncertain] Spectral thresholds in the bipartite stochastic block model | Partition a set of n vertices at random into sets A, B.
TCS-4333 [index;source_question_passage;uncertain] Stochastic Streams: Sample Complexity vs. Space Complexity | There are a number of open questions, a few of which we list here: 1. (Collision Probability) For the collision probability question, what is the […]
TCS-4355 [index;source_question_passage;uncertain] Adaptive Learning with Robust Generalization Guarantees | We suspect p that the necessary blowup in the ε parameter is closer to Θ n ln(1/β) as with (ε, 0)-differential privacy, but leave a […]
TCS-4375 [index;source_question_passage;uncertain] Properly Learning Poisson Binomial Distributions in Almost Polynomial Time | We conjecture that such an algorithm is possible, and our mildly super-polynomial runtime may be viewed as an indication of the plausibility of this conjecture.
TCS-4379 [index;source_question_passage;uncertain] Oblivious Rounding and the Integrality Gap | Finally, what else can we hope to learn about the most promising rounding techniques from properties of the combinatorial problem?
TCS-4430 [index;source_question_passage;uncertain] Optimal Best Arm Identification with Fixed Confidence | Furthermore, we will investigate the fixed-budget setting, for which we conjecture that P (ât 6= 1) & exp − t/T∗ (µ) with
TCS-4450 [index;source_question_passage;uncertain] Provably manipulation-resistant reputation systems | Our modified benchmark amounts to eliminating unreciprocated altruism: we assume that Alice has roughly as many opportunities5 to help Bob as Bob has to help […]
TCS-4456 [index;source_question_passage;uncertain] Learning Combinatorial Functions from Pairwise Comparisons | Determining the exact approximation factor for comparator-learning submodular functions is an open question, as there is a gap between the Õ(n1/2 ) upper bound and […]
TCS-4496 [index;source_question_passage;uncertain] Generalized Mixability via Entropic Duality | For example, are there losses that are H-mixable but not Sα -mixable, or vice-versa?
TCS-4497 [index;source_question_passage;uncertain] Max vs Min: Tensor Decomposition and ICA with nearly Linear Sample Complexity | We must retain the error term as we do not know a priori whether the error derivative term has a complex component or not.
TCS-4520 [index;source_question_passage;uncertain] On the Complexity of Learning with Kernels | This is essentially due to the smoothness of the squared loss, and we do not know if it is tight.
TCS-4555 [index;source_question_passage;uncertain] Simple, Efficient, and Neural Algorithms for Sparse Coding | Finally, can we analyse energy minimization in other contexts as well?
TCS-4580 [index;source_question_passage;uncertain] Faster and Sample Near-Optimal Algorithms for Proper Learning Mixtures of Gaussians | Note that, a priori, we do not know whether i = 1 or i = 2.
TCS-4581 [index;source_question_passage;uncertain] Online Learning with Composite Loss Functions | Characterizing the set of combining functions that induce hard problems remains an open problem.
TCS-4592 [index;source_question_passage;uncertain] Embedding Hard Learning Problems Into Gaussian Space | What is the optimal time complexity for agnostically learning halfspaces on the Gaussian distribution?
TCS-4604 [index;source_question_passage;uncertain] Learning Mixtures of Discrete Product Distributions using Spectral Decompositions | However, establishing tight information theoretic lower bound on n (w.r.t. `, r) is still an open problem. 2
TCS-4607 [index;source_question_passage;uncertain] The Complexity of Learning Halfspaces using Generalized Linear Methods | Some of our lower bounds nearly match the best known upper bounds and we conjecture that the rest of our bounds can be improved as […]
TCS-4627 [index;source_question_passage;uncertain] A near-optimal algorithm for finite partial-monitoring games against adversarial opponents | We conjecture that this dependence can be lifted with a more sophisticated way of tracking qt .
TCS-4628 [index;source_question_passage;uncertain] Passive Learning with Target Risk | We believe this issue is worthy of further exploration and leave it as an open problem.
TCS-4629 [index;source_question_passage;uncertain] Approachability, fast and slow | In this last framework, determining even slow (or worst case) convergence rates is still an open problem.
TCS-4643 [index;source_question_passage;uncertain] Learning a set of directions | However, what are the ingredients needed for the method to succeed in general?
TCS-4651 [index;source_question_passage;uncertain] Mind Change Speed-up for Learning Languages from Positive Data | Yet the general problem of whether there are wide natural automatic classes for which mind change speed-up is possible remains open.
TCS-4663 [index;source_question_passage;uncertain] Autonomous Exploration For Navigating In MDPs | It remains an open question if the exploration bound for our algorithm is optimal.
TCS-4683 [index;source_question_passage;uncertain] The Sample Complexity of Dictionary Learning | Whether fast rates results can be proved in the dimension free regime is an interesting √ question we leave open.
TCS-4687 [index;source_question_passage;uncertain] Concentration-Based Guarantees for Low-Rank Matrix Reconstruction | In particular, we do not know whether the less favorable dependence is a consequence of not relying on zero-mean i.i.d. noise, or not relying on […]
TCS-4807 [source;;source_open] Open problem: Direct Sums in Learning Theory | Can the upper bound be asymptotically improved for some concept classes C and marginal distributions D?
TCS-4819 [source;;source_open] Open Problem: Learning sparse linear concepts by priming the features | What is the optimal priming function for sparse linear problems?
TCS-4870 [source;;uncertain] Beyond Regularity: Simple Versus Optimal Mechanisms, Revisited | Remarkably, the generalization of BOUP CBOSP is approximation-preserving (and we conjecture that the other two are also approximation-preserving).
TCS-4902 [source;;uncertain] Stability and Replicability in Learning | We do not know if a similar bound holds, for example, for halfspaces (LTFs) in the plane.
TCS-4912 [source;;source_open] Sequential prediction under log-loss with side information | Construct and analyze a probability assignment q for the case when F is a general hypothesis class.
TCS-4921 [source;;source_open] Collision Resistance of Single-Layer Neural Nets | We leave confirming this conjecture, or finding algorithmic counterexamples, as an open direction for future work.
TCS-4949 [source;;source_open] Open Problem: Tensor Decompositions: Algorithms up to the Uniqueness Threshold? | Is there an algorithm for decomposing T under the conditions of Kruskal’s uniqueness theorem?
TCS-4966 [source;;uncertain] Discriminative Learning of Substitution Matrices and Gap Penalties for Pairwise Alignment of Biological Sequences | An exact characterization of the geometry of the set of maximizers remains an open problem.
TCS-5001 [source;;uncertain] Fast, blind, and accurate: Tuning-free sparse regression with global linear convergence | To date, the design of fast, robust, and scalable algorithms with strong convergence rate guarantees is still an open problem.
TCS-5002 [source;;uncertain] Distributional PAC-Learning from Nisan’s Natural Proofs | Therefore, it remains open whether or not other natural proofs imply efficient distPAC- learning algorithms for other concept classes, such as AC0 [p].
TCS-5003 [source;;uncertain] Provable Accelerated Convergence of Nesterov’s Momentum for Deep ReLU Neural Networks | While gradient descent converges linearly under such conditions, it remains an open question whether Nesterov’s momentum enjoys accelerated convergence under similar settings and assumptions.
TCS-5017 [source;;source_open] Learning with Monotone Adversarial Corruptions | What is the optimal expected error that can be achieved in the monotone adversary model for learning a binary hypothesis class of VC dimension d […]
TCS-5027 [source;;source_open] A Characterization of Multiclass Learnability | What about the pseudo-cube condition and the Natarajan dimension in the realm of simplicial complexes?
TCS-5028 [source;;uncertain] On the Lower Bound of Minimizing Polyak-Łojasiewicz functions | However, it remains open to us whether there are faster algorithms for smooth PL functions.
TCS-5029 [source;;uncertain] Structural Parameterizations of b-Coloring | Note that the parameterization modular-width, which is a common generalization of neighborhood diversity and twin-cover, remains open.
TCS-5043 [source;;source_open] Sorted Top-k in Rounds | Extend our techniques for r = 1 or 2 in the noisy case to the case when we have more than 2 rounds.
TCS-5059 [source;;uncertain] The Role of Interactivity in Structured Estimation | Their results leave open a logarithmic (in the dimension) gap between upper and lower bounds on the number of measurements (sample complexity).
TCS-5060 [source;;source_open] Learning to Control Linear Systems can be Hard | It is an open problem whether we can construct examples of systems that are not poly(n)−stabilizable even though they are excited by full-rank noise.
TCS-5061 [source;;uncertain] On characterizations of learnability with computable learners | We do not know whether CPAC learnability is not already equivalent to SCPAC learnability.
TCS-5075 [source;;source_open] Better Diameter Algorithms for Bounded VC-Dimension Graphs and Geometric Intersection Graphs | Are there any (conditional) lower bounds for Diameter and k- Diameter for either: Kt -minor-free graphs; bounded distance VC-dimension graphs; . . . or geometric […]
TCS-5086 [source;;source_open] Query Languages for Machine-Learning Models (Invited Talk) | In a different direction, is there is a query language that expresses precisely the modelagnostic queries on FNNs that are polynomial-time computable?
TCS-5087 [source;;source_open] Adversarially Robust Low Dimensional Representations | Designing a computationally efficient algorithm to do the same is an open question that we describe in more detail in Section 2.3.2.
TCS-5088 [source;;uncertain] Learning Intersections of Two Margin Halfspaces under Factorizable Distributions | It remains an open question whether, under these strong distributional assumptions, an intersection of k halfspaces can be learned in fully-polynomial time.
TCS-5089 [source;;uncertain] Statistical guarantees for generative models without domination | As mentioned earlier, (6) is a consequence of (4) and we do not know whether the latter is tight.
TCS-5090 [source;;uncertain] On the Structure of Learnability Beyond P/Poly | In particular, we do not know if hardness of learning P/poly efficiently using random examples in the worst-case implies OWFs.
TCS-5118 [source;;uncertain] Majority-of-Three: The Simplest Optimal Learner? | Because of this, we conjecture that Majorityof-Three is in fact optimal for all δ and leave this as an open question for future research.
TCS-5119 [source;;uncertain] Information Theoretic Optimal Learning of Gaussian Graphical Models | The question of whether the lower bound is tight and achievable by a polynomial time algorithm remains open.
TCS-5120 [source;;uncertain] Making Progress Based on False Discoveries | This is reminiscent to a similar problem that was studied by [13], but there it is unknown what are the rounds of adaptivity.
TCS-5121 [source;;uncertain] On Instance-Optimal Algorithms for a Generalization of Nuts and Bolts and Generalized Sorting | We conjecture that InversionSort is actually O(1)-instance optimal with this notion6 .
TCS-5153 [source;;source_open] VC Classes are Adversarially Robustly Learnable, but Only Improperly | Establishing a complexity measure that characterizes robust learnability thus remains an open question.
TCS-5154 [source;;source_open] Improved Generalization Bounds for Robust Learning | Whether a single function class can attain the lower bound for every γ > 0 simultaneously is an open problem.
TCS-5155 [source;;source_open] A Unified Characterization of Private Learnability via Graph Theory | How about PAC learnability (which is equivalent to finite VC dimension)?
TCS-5156 [source;;uncertain] Can Adversarially Robust Learning LeverageComputational Hardness? | Finding the maximum range of μ for which computationally bounded attackers can increase the error to 1 − 1/ poly(n) remains open.
TCS-5167 [source;;source_open] Invited Open Problem: Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent? | Is there a constant C such that for all H ⊆ {±1}X over X = {±1}n , and ε < 1/4, if there exists a […]
TCS-5178 [source;;uncertain] Algorithmic Regularization in Over-parameterized Matrix Sensing and Neural Networks with Quadratic Activations | We conjecture that δ only needs to be smaller than an absolute constant, which is left for future work.
TCS-5179 [source;;uncertain] Learning GMMs with Nearly Optimal Robustness Guarantees | These two assumptions are not informationtheoretically necessary and we leave it as an open question to see if it is possible to remove them.
TCS-5180 [source;;uncertain] Improved Inapproximability of VC Dimension and Littlestone’s Dimension via (Unbalanced) Biclique | Nonetheless, it remains open whether any constant factor approximation is achievable in polynomial time:
TCS-5181 [source;;uncertain] An Efficient Minimax Optimal Estimator For Multivariate Convex Regression | The authors’ approach is somewhat related to our proposed algorithm, but it is unknown whether their algorithm is minimax optimal.
TCS-5211 [source;;uncertain] A Dimension-free Computational Upper-bound for Smooth Optimal Transport Estimation | This can be beneficial if we do not know X, Y or we do not know how to sample from them.
TCS-5212 [source;;source_open] Depth and Feature Learning are Provably Beneficial for Neural Network Discriminators | Are the results implied by known separation results on function approximation?
TCS-5213 [source;;uncertain] A General Characterization of the Statistical Query Complexity | If we do not know a priori whether p ≤ 1/2 we can ask both queries.
TCS-5214 [source;;uncertain] Extended Learning Graphs for Triangle Finding | But surprisingly, the best possible gap is still an open question, even if it was improved for both models very recently [3, 1].
TCS-5215 [source;;uncertain] Reliably Learning the ReLU in Polynomial Time | The exact range of for which a polynomial-time algorithm is achievable remains open.
TCS-5247 [source;;uncertain] Learning Multinomial Logits in O(n log n) Time | Although MNLs have been studied extensively, a basic computational question remains open: given query access to slates, how efficiently can we learn weights so that, […]
TCS-5248 [source;;uncertain] Spectral thresholds in the bipartite stochastic block model | In particular, in the case of the parity distribution we conjecture that there is a sharp threshold for detection.
TCS-5249 [source;;source_open] Costly Zero Order Oracles | Even for d = 2, we do not know if this lower bound is tight.
TCS-5281 [source;;source_open] Open Problem: Monotonicity of Learning | For Examples II and III it is an open problem whether they satisfy this weaker notion, and for which (smallest) N this notion is satisfied.
TCS-5297 [source;;uncertain] Near-Optimal Herding | We do not know whether the algorithm of Theorem 4 has strictly better error than the Herding algorithm.
TCS-5298 [source;;source_open] The Gap Between Model-Based and Model-Free Methods on the Linear Quadratic Regulator: An Asymptotic Viewpoint | Uniform integrability then implies (Lemma A.5) that the limit of the scaled risk T · E[kPbplug (T ) − P?
TCS-5336 [source;;source_open] Estimation of Extreme Values and Associated Level Sets of a Regression Function via Selective Sampling | Whenever β − 0 < β ≤ 1 and βγ < d, we conjecture that the optimal rate is n 2β+d−βγ .
TCS-5337 [source;;uncertain] Dealing with Range Anxiety in Mean Estimation via Statistical Queries | However, it is unknown how to obtain lower bounds against this stronger oracle using existing analysis techniques (e.g.
TCS-5358 [source;;uncertain] Learning DNF Expressions from Fourier Spectrum | Despite efforts √ by numerous researchers, the problem still remains open, with the best 3 algorithm taking 2Õ( n) time (Klivans and Servedio, 2004).
TCS-5381 [source;;source_open] Open Problem: Best Arm Identification: Almost Instance-Wise Optimality and the Gap Entropy Conjecture | There is an algorithm for B EST-1-A RM with sample complexity O(L(I, δ) + ∆−2 −1 2 ln ln ∆2 ),
TCS-5382 [source;;uncertain] An Exponential Lower Bound for Spectral Density Estimation on Unweighted Graphs | It remains an open question whether an exponential lower bound can be established for the random neighbor model (also called the adaptive random walk model […]
TCS-5383 [source;;uncertain] Competing with the Empirical Risk Minimizer in a Single Pass | We conjecture that these tight generalization arguments described are attainable, although with a somewhat involved analysis.
TCS-5384 [source;;source_open] Nearly Linear-Time User-Level DP-SCO with Optimal Rates | While achieving optimal rates for item-level DP-SCO via the (regularized) exponential mechanism (Gopi et al., 2022) is already non-trivial, obtaining optimal rates for user-level DP-SCO […]
TCS-5385 [source;;source_open] On the Complexity of Learning with Kernels | As in the case of Corollary 8, we do not know whether our lower bound is tight.
TCS-5416 [source;;source_open] Learning Tree Pattern Transformations | We conjecture that it is never necessary to construct large intermediate trees and that, therefore, the answer to the following question is positive. ▶ Open […]
TCS-5442 [source;;uncertain] A Logarithmic Integrality Gap for Generalizations of Quasi-Bipartite Instances of Directed Steiner Tree | If one considers the bi-directed cut relaxation, i.e. the directed graph having both orientations of each undirected edge, then it is an open problem to […]
TCS-5443 [source;;uncertain] Mixtures of Gaussians are Privately Learnable with a Polynomial Number of Samples | Moreover, designing a computationally efficient algorithm (i.e. with a running time that is polynomial in k and d) for learning GMMs even in the non-private […]
TCS-5444 [source;;uncertain] Finer-Grained Hardness of Kernel Density Estimation | It is not clear whether there is a reduction in the reverse direction, and it remains an open problem to determine whether the batched version […]
TCS-5445 [source;;source_open] Sparse Random Hypergraphs: Non-Backtracking Spectra and Community Detection | This is reminiscent of the arguments justifying the use of the Bethe-Hessian [33]–[35], [72] in graph community detection; we conjecture that an appropriate form of […]
TCS-5446 [source;;uncertain] Tight bounds for maximum $\ell_1$-margin classifiers | However, it is an open question whether one q can relax the constraint with a soft-sparsity constraint on the ground truth of the form ∗ […]
TCS-5478 [source;;source_open] Reaching Goals is Hard: Settling the Sample Complexity of the Stochastic Shortest Path | Many interesting problems remain open, such as the minimax optimal sample complexity of computing an ( , T )-optimal policy when min{T‡ , T } […]
TCS-5479 [source;;uncertain] Robust Empirical Risk Minimization with Tolerance | Developing robust algorithms with provable guarantees has been an important research direction in recent years, both for parametric Khim and Loh (2018); Attias et al. […]
TCS-5508 [source;;uncertain] On the Asymptotics of Self-Supervised Pre-training: Two-Stage M-Estimation and Representation Symmetry | While a growing body of work has begun to analyze this paradigm, existing bounds leave open the question of how sharp current rates are, and […]
TCS-5509 [source;;source_open] Language Generation with Infinite Contamination | Further, our finite-contamination algorithm uses only membership oracle access to L , but several of our other algorithms require more powerful oracles; understanding what can […]
TCS-5510 [source;;uncertain] Iterated Vector Fields and Conservatism, with Applications to Federated Learning | While f ∈ G⊥ (Rn , R) implies that ∇f is ∞-conservative, exactly characterizing the set of ∞-conservative vector fields in ∇G(Rn , R) remains […]
TCS-5511 [source;;source_open] A Theory of PAC Learnability of Partial Concept Classes | However, in general it remains open to establish tight bounds on VC(Hγ ) in both γ, d. a) A Disambiguation.: In contrast with the previous […]
TCS-5531 [source;;source_open] Open Problem: How fast can a multiclass test set be overfit? | Show whether there exists an algorithm that, for any distribution P over labeled examples with m classes, submits k accuracy queries to the test set […]
TCS-5545 [source;;source_open] Open Problem: Are all VC-classes CPAC learnable? | In the next subsection we then provide a description of a candidate hypothesis which is decidable and has finite VC dimension and which we conjecture […]
