TCS-0008	Linear Programming: Strongly Polynomial?	The Open Problems Project
TCS-4621	We conjecture that the optimal bounds are that for every class H, B-ErrrH (T ) = O(k · L(H)) a p and B-ErrH (T ) […]	The price of bandit information in multiclass online classification
TCS-4622	It is an open problem to show a problem-dependent lower bound for Explore-m, and to investigate if it involves Chernoff information terms d∗ (x, y) […]	Information Complexity in Bandit Subset Selection
TCS-4626	Second, we conjecture that our algorithm for uniform costs can be significantly improved.	Adaptive Crowdsourcing Algorithms for the Bandit Survey Problem
TCS-4633	Is there a FPTAS for the KCM problem for arbitrary matroids?	Knapsack Cover Subject to a Matroid Constraint
TCS-4655	Furthermore, it remains open whether one can find a problem-independent regret bound that√does not depend on 1/∆i – a quantity that can be arbitrarily small.	Open Problem: Regret Bounds for Thompson Sampling
TCS-4681	Are there easier information theoretic arguments to give similar lower bounds?	Beyond the regret minimization barrier: an optimal algorithm for stochastic strongly-convex optimization
TCS-4682	We conjecture that such an algorithm exists, and it should not use any self-concordance technology.	A simple multi-armed bandit algorithm with optimal variation-bounded regret
TCS-4852	Combinatorial Resultants in the Algebraic Rigidity Matroid — Open Problem 3	Combinatorial Resultants in the Algebraic Rigidity Matroid
TCS-4900	Unsplittable Transshipments — Unresolved-question passage on page 16	Unsplittable Transshipments
TCS-4916	Acceleration Meets Inverse Maintenance: Faster l_∞-Regression — Explicit open question on PDF page 6	Acceleration Meets Inverse Maintenance: Faster l_∞-Regression
TCS-4917	Some easy optimization problems have the overlap-gap property — Explicit open question on PDF page 5	Some easy optimization problems have the overlap-gap property
TCS-4936	An O(loglog n)-Approximation for Submodular Facility Location — Explicit open question on PDF page 4	An O(loglog n)-Approximation for Submodular Facility Location
TCS-4937	Problems on Group-Labeled Matroid Bases — Explicit open question on PDF page 17	Problems on Group-Labeled Matroid Bases
TCS-4943	Open Problem: How much overparametrization is needed for ALS in tensor decomposition? — Open Problem 3	Open Problem: How much overparametrization is needed for ALS in tensor decomposition?
TCS-4962	Open Problem: Polynomial linearly-convergent method for g-convex optimization? — Unresolved-question passage on page 3	Open Problem: Polynomial linearly-convergent method for g-convex optimization?
TCS-4980	Dynamic Matroids: Base Packing and Covering — Unresolved-question passage on page 10	Dynamic Matroids: Base Packing and Covering
TCS-4983	Randomized k-Server in Polynomial Time — Explicit open question on PDF page 4	Randomized k-Server in Polynomial Time
TCS-4984	Fairness in the k-Server Problem — Explicit open question on PDF page 6	Fairness in the k-Server Problem
TCS-4985	Online Metric TSP: Beyond the √n Barrier — Explicit open question on PDF page 3	Online Metric TSP: Beyond the √n Barrier
TCS-4986	Avoiding exp($k^*$) Scaling for Thompson Sampling in Combinatorial Semi-Bandits: From Multiple Seeds to a Single Seed — Explicit open question on PDF page 8	Avoiding exp($k^*$) Scaling for Thompson Sampling in Combinatorial Semi-Bandits: From Multiple Seeds to a Single Seed
TCS-4995	The Quest for Faster Join Algorithms (Invited Talk) — Unresolved-question passage on page 10	The Quest for Faster Join Algorithms (Invited Talk)
TCS-5004	Regret Bounds for Robust Online Decision Making — Explicit open question on PDF page 4	Regret Bounds for Robust Online Decision Making
TCS-5005	Gradient Methods with Online Scaling — Explicit open question on PDF page 2	Gradient Methods with Online Scaling
TCS-5024	Instance Complexity and Unlabeled Certificates in the Decision Tree Model — Unresolved-question passage on page 33	Instance Complexity and Unlabeled Certificates in the Decision Tree Model
TCS-5030	A Decomposition Approach to the Weighted k-Server Problem — Explicit open question on PDF page 3	A Decomposition Approach to the Weighted k-Server Problem
TCS-5031	The Dimension of Self-Directed Learning — Unresolved-question passage on page 16	The Dimension of Self-Directed Learning
TCS-5049	Invited Open Problem: Online Optimization of Piecewise-Lipschitz Functions with Applications to Data-Driven Algorithm Design — Open Question 2	Invited Open Problem: Online Optimization of Piecewise-Lipschitz Functions with Applications to Data-Driven Algorithm Design
TCS-5051	Capturing Complementarity in Set Functions by Going Beyond Submodularity/Subadditivity — Explicit open question on PDF page 6	Capturing Complementarity in Set Functions by Going Beyond Submodularity/Subadditivity
TCS-5052	Tight analyses for non-smooth stochastic gradient descent — Explicit open question on PDF page 2	Tight analyses for non-smooth stochastic gradient descent
TCS-5053	Linearization Algorithms for Fully Composite Optimization — Explicit open question on PDF page 2	Linearization Algorithms for Fully Composite Optimization
TCS-5065	Minimizing Dynamic Regret on Geodesic Metric Spaces — Explicit open question on PDF page 14	Minimizing Dynamic Regret on Geodesic Metric Spaces
TCS-5066	Multiclass Online Learning and Uniform Convergence — Explicit open question on PDF page 12	Multiclass Online Learning and Uniform Convergence
TCS-5080	Open Problem: Regret Minimization in Heavy-Tailed Bandits with Unknown Distributional Parameters — Open Question 1	Open Problem: Regret Minimization in Heavy-Tailed Bandits with Unknown Distributional Parameters
TCS-5082	Negative curvature obstructs acceleration for strongly geodesically convex optimization, even with exact first-order oracles — Explicit open question on PDF page 4	Negative curvature obstructs acceleration for strongly geodesically convex optimization, even with exact first-order oracles
TCS-5093	Open Problem: Optimal Best Arm Identification with Fixed-Budget — Unresolved-question passage on page 4	Open Problem: Optimal Best Arm Identification with Fixed-Budget
TCS-5094	Online Hitting Set for Axis-Aligned Squares — Unresolved-question passage on page 16	Online Hitting Set for Axis-Aligned Squares
TCS-5104	Lower Bounds for Ranking-Based Pivot Rules — Unresolved-question passage on page 14	Lower Bounds for Ranking-Based Pivot Rules
TCS-5123	Sample Complexity Bounds for Stochastic Shortest Path with a Generative Model — Explicit open question on PDF page 10	Sample Complexity Bounds for Stochastic Shortest Path with a Generative Model
TCS-5125	New Lower Bounds for Non-Convex Stochastic Optimization through Divergence Decomposition — Unresolved-question passage on page 13	New Lower Bounds for Non-Convex Stochastic Optimization through Divergence Decomposition
TCS-5126	A Tight Lower Bound for Online Service with Deadlines and Lazy Server — Unresolved-question passage on page 14	A Tight Lower Bound for Online Service with Deadlines and Lazy Server
TCS-5145	It's All a Matter of Degree: Using Degree Information to Optimize Multiway Joins — Unresolved-question passage on page 14	It's All a Matter of Degree: Using Degree Information to Optimize Multiway Joins
TCS-5157	Adversarial Contextual Bandits Go Kernelized — Unresolved-question passage on page 12	Adversarial Contextual Bandits Go Kernelized
TCS-5158	Permutation Strikes Back: The Power of Recourse in Online Metric Matching — Explicit open question on PDF page 2	Permutation Strikes Back: The Power of Recourse in Online Metric Matching
TCS-5159	An Improved Approximation Algorithm for Dynamic Minimum Linear Arrangement — Explicit open question on PDF page 3	An Improved Approximation Algorithm for Dynamic Minimum Linear Arrangement
TCS-5182	Online Sorting and Online TSP: Randomized, Stochastic, and High-Dimensional — Unresolved-question passage on page 14	Online Sorting and Online TSP: Randomized, Stochastic, and High-Dimensional
TCS-5183	Best-of-three-worlds Analysis for Linear Bandits with Follow-the-regularized-leader Algorithm — Explicit open question on PDF page 6	Best-of-three-worlds Analysis for Linear Bandits with Follow-the-regularized-leader Algorithm
TCS-5184	Online Multi-Level Aggregation with Delays and Stochastic Arrivals — Unresolved-question passage on page 16	Online Multi-Level Aggregation with Delays and Stochastic Arrivals
TCS-5185	Adaptively Tracking the Best Bandit Arm with an Unknown Number of Distribution Changes — Explicit open question on PDF page 5	Adaptively Tracking the Best Bandit Arm with an Unknown Number of Distribution Changes
TCS-5186	Adversarial Online Multi-Task Reinforcement Learning — Explicit open question on PDF page 8	Adversarial Online Multi-Task Reinforcement Learning
TCS-5216	Online Learning and Disambiguations of Partial Concept Classes — Unresolved-question passage on page 12	Online Learning and Disambiguations of Partial Concept Classes
TCS-5217	An Optimal Learning Algorithm for Online Unconstrained Submodular Maximization — Explicit open question on PDF page 3	An Optimal Learning Algorithm for Online Unconstrained Submodular Maximization
TCS-5218	Bandit Regret Scaling with the Effective Loss Range — Explicit open question on PDF page 1	Bandit Regret Scaling with the Effective Loss Range
TCS-5219	Improved Algorithms for Online Rent Minimization Problem Under Unit-Size Jobs — Unresolved-question passage on page 13	Improved Algorithms for Online Rent Minimization Problem Under Unit-Size Jobs
TCS-5220	Online Paging with Heterogeneous Cache Slots — Unresolved-question passage on page 16	Online Paging with Heterogeneous Cache Slots
TCS-5221	An Improved Lower Bound for Matroid Intersection Prophet Inequalities — Unresolved-question passage on page 17	An Improved Lower Bound for Matroid Intersection Prophet Inequalities
TCS-5224	A Unified Approach to Discrepancy Minimization — Explicit open question on PDF page 3	A Unified Approach to Discrepancy Minimization
TCS-5251	Orienting (Hyper)graphs Under Explorable Stochastic Uncertainty — Unresolved-question passage on page 15	Orienting (Hyper)graphs Under Explorable Stochastic Uncertainty
TCS-5252	Tight Bounds for Bandit Combinatorial Optimization — Unresolved-question passage on page 12	Tight Bounds for Bandit Combinatorial Optimization
TCS-5282	Delay and Cooperation in Nonstochastic Bandits — Unresolved-question passage on page 15	Delay and Cooperation in Nonstochastic Bandits
TCS-5300	Energy Consumption of Group Search on a Line — Explicit open question on PDF page 2	Energy Consumption of Group Search on a Line
TCS-5301	Online Minimum Cost Matching with Recourse on the Line — Unresolved-question passage on page 14	Online Minimum Cost Matching with Recourse on the Line
TCS-5330	Deterministic (2/3 - ε)-Approximation of Matroid Intersection Using Nearly-Linear Independence-Oracle Queries — Explicit open question on PDF page 2	Deterministic (2/3 - ε)-Approximation of Matroid Intersection Using Nearly-Linear Independence-Oracle Queries
TCS-5349	Online Learning with Low Rank Experts — Open Problem 2	Online Learning with Low Rank Experts
TCS-5353	Improved Linearly Ordered Colorings of Hypergraphs via SDP Rounding — Explicit open question on PDF page 2	Improved Linearly Ordered Colorings of Hypergraphs via SDP Rounding
TCS-5364	Hyperbolic Concentration, Anti-Concentration, and Discrepancy — Unresolved-question passage on page 13	Hyperbolic Concentration, Anti-Concentration, and Discrepancy
TCS-5377	A Unified Worst Case for Classical Simplex and Policy Iteration Pivot Rules — Explicit open question on PDF page 3	A Unified Worst Case for Classical Simplex and Policy Iteration Pivot Rules
TCS-5406	The SDP Value of Random 2CSPs — Explicit open question on PDF page 2	The SDP Value of Random 2CSPs
TCS-5407	On Maximizing Sums of Non-Monotone Submodular and Linear Functions — Explicit open question on PDF page 2	On Maximizing Sums of Non-Monotone Submodular and Linear Functions
TCS-5417	On the Limits of Gate Elimination — Unresolved-question passage on page 12	On the Limits of Gate Elimination
TCS-5418	Phase Transition of Regret for Logistic Regression with Large Weights — Explicit open question on PDF page 4	Phase Transition of Regret for Logistic Regression with Large Weights
TCS-5481	Stochastic Constrained Contextual Bandits via Lyapunov Optimization Based Estimation to Decision Framework — Explicit open question on PDF page 8	Stochastic Constrained Contextual Bandits via Lyapunov Optimization Based Estimation to Decision Framework
TCS-5493	Small Space Stream Summary for Matroid Center — Explicit open question on PDF page 7	Small Space Stream Summary for Matroid Center
TCS-5494	The Complexity of Making the Gradient Small in Stochastic Convex Optimization — Explicit open question on PDF page 2	The Complexity of Making the Gradient Small in Stochastic Convex Optimization
TCS-5495	Generalized Assignment via Submodular Optimization with Reserved Capacity — Unresolved-question passage on page 14	Generalized Assignment via Submodular Optimization with Reserved Capacity
TCS-5513	Analysis of Thompson Sampling for the Multi-armed Bandit Problem — Explicit open question on PDF page 4	Analysis of Thompson Sampling for the Multi-armed Bandit Problem
TCS-5514	Efficient Algorithms and Hardness Results for the Weighted k-Server Problem — Explicit open question on PDF page 2	Efficient Algorithms and Hardness Results for the Weighted k-Server Problem
TCS-5515	Complexity Analysis of a Countable-armed Bandit Problem — Explicit open question on PDF page 7	Complexity Analysis of a Countable-armed Bandit Problem
TCS-5535	Open Problem: Model Selection for Contextual Bandits — Open Problem 2	Open Problem: Model Selection for Contextual Bandits
TCS-5536	New algorithms for Steiner tree reoptimization — Explicit open question on PDF page 2	New algorithms for Steiner tree reoptimization
TCS-5550	Scale-free Unconstrained Online Learning for Curved Losses — Unresolved-question passage on page 8	Scale-free Unconstrained Online Learning for Curved Losses
TCS-5552	The Secretary Problem with Predictions and a Chosen Order — Explicit open question on PDF page 7	The Secretary Problem with Predictions and a Chosen Order
TCS-5570	On the Convergence Time of a Natural Dynamics for Linear Programming — Explicit open question on PDF page 2	On the Convergence Time of a Natural Dynamics for Linear Programming
TCS-5587	Online Disjoint Set Covers: Randomization Is Not Necessary — Explicit open question on PDF page 5	Online Disjoint Set Covers: Randomization Is Not Necessary
TCS-5588	Chasing Puppies: Mobile Beacon Routing on Closed Curves — Unresolved-question passage on page 16	Chasing Puppies: Mobile Beacon Routing on Closed Curves
TCS-5599	Open Problem: Kernel methods on manifolds and metric spaces. What is the probability of a positive definite geodesic exponential kernel? — Conjecture 1	Open Problem: Kernel methods on manifolds and metric spaces. What is the probability of a positive definite geodesic exponential kernel?
TCS-5611	Online Infinite-Dimensional Regression: Learning Linear Operators — Unresolved-question passage on page 12	Online Infinite-Dimensional Regression: Learning Linear Operators
TCS-5612	On the Facility Location Problem in Online and Dynamic Models — Explicit open question on PDF page 16	On the Facility Location Problem in Online and Dynamic Models
TCS-5628	SOS Lower Bounds with Hard Constraints: Think Global, Act Local — Unresolved-question passage on page 20	SOS Lower Bounds with Hard Constraints: Think Global, Act Local
TCS-5629	On Integer Programming and Convolution — Explicit open question on PDF page 3	On Integer Programming and Convolution
TCS-5658	Quasi-Newton Steps for Efficient Online Exp-Concave Optimization — Explicit open question on PDF page 3	Quasi-Newton Steps for Efficient Online Exp-Concave Optimization
TCS-5659	On the Performance of Thompson Sampling on Logistic Bandits — Unresolved-question passage on page 3	On the Performance of Thompson Sampling on Logistic Bandits
TCS-5694	Inductive Bias of Multi-Channel Linear Convolutional Networks with Bounded Weight Norm — Explicit open question on PDF page 12	Inductive Bias of Multi-Channel Linear Convolutional Networks with Bounded Weight Norm
TCS-5695	Submodular Dominance and Applications — Unresolved-question passage on page 15	Submodular Dominance and Applications
TCS-5746	Beating Ratio 0.5 for Weighted Oblivious Matching Problems — Explicit open question on PDF page 1	Beating Ratio 0.5 for Weighted Oblivious Matching Problems
TCS-5748	Online Coloring of Short Intervals — Explicit open question on PDF page 3	Online Coloring of Short Intervals
TCS-5756	Submodular Clustering in Low Dimensions — Unresolved-question passage on page 10	Submodular Clustering in Low Dimensions
TCS-5779	The Outer Limits of Contention Resolution on Matroids and Connections to the Secretary Problem — Unresolved-question passage on page 15	The Outer Limits of Contention Resolution on Matroids and Connections to the Secretary Problem
TCS-5780	Uniform regret bounds over $\mathbb{R}^d$ for the sequential linear regression problem with the square loss — Explicit open question on PDF page 9	Uniform regret bounds over $\mathbb{R}^d$ for the sequential linear regression problem with the square loss
TCS-5781	Online Multistage Subset Maximization Problems — Explicit open question on PDF page 5	Online Multistage Subset Maximization Problems
TCS-5799	Covering Vectors by Spaces in Perturbed Graphic Matroids and Their Duals — Unresolved-question passage on page 12	Covering Vectors by Spaces in Perturbed Graphic Matroids and Their Duals
TCS-5841	Online Facility Location with Deletions — Explicit open question on PDF page 4	Online Facility Location with Deletions
TCS-5887	Efficient Approximations for the Online Dispersion Problem — Explicit open question on PDF page 6	Efficient Approximations for the Online Dispersion Problem
TCS-5888	Open Problem: Regret Bounds for Noise-Free Kernel-Based Bandits — Unresolved-question passage on page 3	Open Problem: Regret Bounds for Noise-Free Kernel-Based Bandits
TCS-5895	Combinatorial n-fold Integer Programming and Applications — Unresolved-question passage on page 13	Combinatorial n-fold Integer Programming and Applications
TCS-5925	Online Isotonic Regression — Explicit open question on PDF page 5	Online Isotonic Regression
TCS-5941	Sequential Decision Making With Information Asymmetry (Invited Talk) — Explicit open question on PDF page 4	Sequential Decision Making With Information Asymmetry (Invited Talk)
TCS-6024	The Niceness of Unique Sink Orientations — Explicit open question on PDF page 2	The Niceness of Unique Sink Orientations
TCS-6031	Optimal Composition Ordering Problems for Piecewise Linear Functions — Explicit open question on PDF page 4	Optimal Composition Ordering Problems for Piecewise Linear Functions
TCS-6090	Improved Online Hitting Set Algorithms for Structured and Geometric Set Systems — Explicit open question on PDF page 2	Improved Online Hitting Set Algorithms for Structured and Geometric Set Systems
TCS-6135	Mitigating Covariate Shift in Misspecified Regression with Applications to Reinforcement Learning — Unresolved-question passage on page 8	Mitigating Covariate Shift in Misspecified Regression with Applications to Reinforcement Learning
TCS-6136	Adversarial Online Learning with Temporal Feedback Graphs — Unresolved-question passage on page 12	Adversarial Online Learning with Temporal Feedback Graphs
TCS-6165	Online Coalition Formation Under Random Arrival or Coalition Dissolution — Unresolved-question passage on page 13	Online Coalition Formation Under Random Arrival or Coalition Dissolution
TCS-6193	Towards Optimal Algorithms for Multi-Player Bandits without Collision Sensing Information — Explicit open question on PDF page 2	Towards Optimal Algorithms for Multi-Player Bandits without Collision Sensing Information
TCS-6194	Sublinear-Time Computation in the Presence of Online Erasures — Explicit open question on PDF page 5	Sublinear-Time Computation in the Presence of Online Erasures
TCS-6350	Dynamic Clustering to Minimize the Sum of Radii — Explicit open question on PDF page 3	Dynamic Clustering to Minimize the Sum of Radii
TCS-6398	A Quasi-Random Approach to Matrix Spectral Analysis — Explicit open question on PDF page 4	A Quasi-Random Approach to Matrix Spectral Analysis
TCS-6400	Bandits, Query Learning, and the Haystack Dimension — Explicit open question on PDF page 15	Bandits, Query Learning, and the Haystack Dimension
TCS-6414	Tight Analysis of a Multiple-Swap Heurstic for Budgeted Red-Blue Median — Unresolved-question passage on page 8	Tight Analysis of a Multiple-Swap Heurstic for Budgeted Red-Blue Median
TCS-6483	Improved Lower Bounds for Submodular Function Minimization — Unresolved-question passage on page 5	Improved Lower Bounds for Submodular Function Minimization
TCS-6490	Sparse Submodular Function Minimization — Unresolved-question passage on page 9	Sparse Submodular Function Minimization
