TCS-6446	Quantum PCP: a constant promise gap for local Hamiltonians	The Quantum PCP Conjecture
TCS-1706	It is an open problem to know if those normal forms and new operators can have further applications in simulation, compilation or the synthesis of […]	A Complete Graphical Language for Linear Optical Circuits with Finite-Photon-Number Sources and Detectors
TCS-1709	We leave open the possibility that a ( 1+4 5 )-approximation algorithm can be achieved with a tensor product of one and two-qubit states that […]	Improved Algorithms for Quantum MaxCut via Partially Entangled Matchings
TCS-1735	The tightness of Theorem 8 remains an open question, either by showing a strategy attaining n the value (11), or if strong parallel repetition holds […]	A Quantum Cloning Game with Applications to Quantum Position Verification
TCS-1769	Can the class of problems with a quantum asymmetric direct sum property be characterized in some generality?	Consumable Data via Quantum Communication
TCS-1773	For example, does QIPU L contain space-bounded classical interactive proofs with ω(log n) public coins, as studied in [20, 28, 11]?	Space-Bounded Quantum Interactive Proof Systems
TCS-1788	Can we encode tr(ρσ) rather than tr(ρσ 2 ) in the amplitudes?	Optimal Quantum Algorithm for Estimating Fidelity to a Pure State
TCS-1789	Can we find more applications of quantum approximate k-minimum finding?	Quantum Approximate k-Minimum Finding
TCS-1795	For instance, can similar methods be adapted to reason about the more abstract and expressive constructs found in quantum programming languages?	Quantum Circuit Verification - A Potential Roadmap (Invited Talk)
TCS-1799	Is it possible to replace the verifier with some variant that does not lead to NEXP?	PDQMA = DQMA = NEXP: QMA with Hidden Variables and Non-Collapsing Measurements
TCS-1800	Do there exist an 1/2 < ϵ ≤ 1 and a 0 < τ < 1 for which AddGapHGPDistτ,ϵ is in coNP?	On the Hardness of Approximating Distances of Quantum Codes
TCS-1823	Can we construct a decision tree of height poly(d) which, on input y, outputs one of the influential coordinates of fy with high probability?	Random Restrictions of Bounded Low Degree Polynomials Are Juntas
TCS-1824	Is there a procedure to decide the opposite?	Bosonic Quantum Computational Complexity
TCS-1828	Could variations of qUGC yield stronger results?	A Quantum Unique Games Conjecture
TCS-1864	We leave this question open, and conjecture that a similar result holds in the quantum setting with a 1 lower bound of Ω N 2 […]	Quantum Property Testing in Sparse Directed Graphs
TCS-1881	This interesting model resembles classical catalytic space classes with small errors in resetting, and we leave it as an open question to determine how it […]	Quantum Catalytic Space
TCS-1882	Any algorithm that distinguishes p = ud from dTV (p, ud ) > ε with success probability at least .99 requires Ω(min{d1/3 /ε4/3 , d1/2 […]	Uniformity Testing When You Have the Source Code
TCS-1888	We leave it as a very interesting open question as to whether or not one can still achieve logarithmic sample complexities in this setting, with […]	Predicting quantum channels over general product distributions
