TCS-0168	Word-automaton recognition of tree languages	Antoine Amarilli: research questions
TCS-1166	We conjecture that the regular languages of Σint 1 [<, +, ≡] are exactly Pol(Com).	Population Protocols over Ordered Agents
TCS-1194	The register complexity for a general s > 0 and r > 0 remains open.	Monitoring Discounted Sum Properties
TCS-1195	Its exact complexity remains open; in particular, a PSPACE procedure for checking GFMness would immediately yield a PSPACE upper bound for minimisation as well.	Word Automata with Limited Nondeterminism (Invited Talk)
TCS-1196	We leave open the question of finding a notion of star-free regular expression for HDA that captures the same class of languages.	Algebraic Characterization of FO-Definable Languages of Higher-Dimensional Automata
TCS-1213	In the last case, it is an open problem to find good disambiguation algorithms, since deterministic Büchi automata are less expressive than unambiguous ones.	A Simple Algorithmic Framework for Disambiguation of Finite Automata
TCS-1237	First, can we decide more relaxed ambiguity?	Unambiguisability and Register Minimisation of Min-Plus Models
TCS-1269	It remains open whether the parameterized variant p-φ-Reconfiguration on paths, or equivalently p-L-Reconfiguration for regular languages L ⊆ {0, 1}∗ , is fixed-parameter tractable.	Lower Bounds for Meta-Reconfiguration
TCS-1270	Is every sequence with multi-head finite-state dimension 1 multi-head finite-state random?	Multi-Head Finite-State Dimension
TCS-1287	We do not know whether Lprim is poly-slicewise-unambiguous, or whether it admits tractable circuits without complementation.	On the Complexity of Language Membership for Probabilistic Words
TCS-1295	Is SubsetGathering also easier in simple mazes?	Tilt Automata: Gathering Particles with Uniform External Control
TCS-1344	However, the algorithm of Theorem 6.1 shows that some tractable cases are technical, while other simple cases (e.g., L = aa with neutral letter) remain […]	Constant-Time Dynamic Enumeration of Word Infixes in a Regular Language
TCS-1370	Finally, lifting the finiteness assumption in our second equivalence remains an open problem.	Positional Determinacy with Colored Vertices: A 1-To-2-Player Lift
TCS-1376	However, this requires some kind of randomization and we leave it as an open problem.	MIDTERM Is a Deterministic Technique to Exit Recursive Mazes
TCS-1378	We do not know if rectangularity is also a necessary condition, we leave this as an open problem.	Transducers on Compressed Strings
TCS-1388	The most important fragment of DynFO for which a characterization remains open is UDynΣ1 (see also the discussion in the full version of this paper).	Algebraic Characterizations of Classes of Regular Languages in DynFO
TCS-1401	Are there efficient decomposition algorithms for aperiodic languages?	Decomposition of Automata Recognizing Ideals
TCS-1419	For instance, are there results of formal language theory that are validated already in µS?	Undecidability for Semirings with Fixed Points
TCS-1476	What is the smallest alphabet size sufficient for SQ hardness?	On the Statistical Query Complexity of Learning Semiautomata: a Random Walk Approach
TCS-1489	We do not know whether the space complexity achieved by this algorithm √ is optimal: it would be very interesting to show that such languages […]	Out-Of-Order Membership in Regular Languages
TCS-1525	Similarly, this question is mirrored in the general coupling lemma: does there exist a stronger description of when couplings do (or do not) exist in […]	Shuffles of Context-Free Languages Along Regular Trajectories
TCS-1534	Is it decidable whether a given regular language is definable in FO2+ ?	Positive and Monotone Fragments of FO and LTL
TCS-1536	What is the computational power of α-asynchronous one-way ACAs?	Universality Frontier for Asynchronous Cellular Automata
TCS-1544	Give a classification of the varieties of finite semigroups in terms of their complexity for the membership problem.	Membership and Conjugacy in Inverse Semigroups
TCS-1545	Given a class of regular languages V, can we characterize (and decide) all languages of the form L ∩ Ω for some L ∈ V?	The Algebras for Automatic Relations
TCS-1546	Does there exist x ∈ Σ∗ for which AN e (x) < AN (x)?	Languages of Words of Low Automatic Complexity Are Hard to Compute
TCS-1550	Given a deterministic parity automaton A and a number k, can we decide whether the memory of L(A) is ≤ k in polynomial time?	The Memory of ω-Regular and BC(Σ⁰₂) Objectives
TCS-1559	Given (α, ℓα ), (β, ℓβ ) ∈ PatΣ,CLen , is it generally decidable to answer whether LN E (α, ℓα ) = LN E […]	The Equivalence Problem of E-Pattern Languages with Length Constraints Is Undecidable
TCS-1576	When they are undecidable or not known to be decidable, some finite-state cases remain open, which we make explicit in the corresponding statements.	Quantitative Language Automata
TCS-1582	For 2-OCN, the class is closed under union, but we conjecture that it is closed under neither intersection nor complement.	Two-Way One-Counter Nets Revisited
TCS-1655	However, we conjecture that the version with state-passing can recognize non-regular languages, and hence is too expressive.	Lexicographic Transductions of Finite Words
TCS-1663	We conjecture that the emptiness problem for automata deciding structural properties remains undecidable, but becomes decidable for some of the classes of [6].	Undecidability of the Emptiness Problem for Weak Models of Distributed Computing
TCS-1670	The hierarchy is strict, that is, Σn ⊊ Σn+1 for all n (and the same is true for all combinations of Π, Σ and ∆).	Subshifts Defined by Nondeterministic and Alternating Plane-Walking Automata
TCS-1672	!-depth 1 λ-transducer ◦ MSO relabeling ≡ MSOT ◦ MSOT-S.	Slightly Non-Linear Higher-Order Tree Transducers
TCS-1749	We conjecture that this is suboptimal, and leave as future work finding a better upper-bound.	Approximate Problems for Finite Transducers
TCS-1816	Given a query and a database, what is the best formal language for representing the result?	A Formal Language Perspective on Factorized Representations
TCS-1832	Does every HD parity automaton have a language-equivalent MA parity automaton of the same size?	Resolving Nondeterminism with Randomness
TCS-1836	Does there exist a natural extension to the model that can handle non-feasible generators?	Fractals in Seeded Tile Automata
TCS-1843	Can Mer(q) be computed faster than in time O(|Q|4 )?	Efficiently Computing the Minimum Rank of a Matrix in a Monoid of Zero-One Matrices
TCS-1878	We leave this question open, but note a difference with the setting for words: there are some aperiodic forest languages (i.e., both monoids of the […]	Dynamic Membership for Regular Tree Languages
TCS-1895	More speculatively, it might be interesting to also go in the opposite direction: Given a set of hypotheses, can one construct a canonical space and […]	A Complete Inference System for Probabilistic Infinite Trace Equivalence
TCS-1897	Similarly, if some probabilistic pushdown gambler wins against a sequence X, does there necessarily exist a deterministic pushdown gambler which wins against that same sequence […]	The Agafonov and Schnorr-Stimm Theorems for Probabilistic Automata
TCS-1948	BP-Identity is coNP-hard and in PSPACE.	Complexity of Boolean Automata Networks Under Block-Parallel Update Modes
TCS-1963	In other words, one question that remains open is the following: is there a locally finite CCC that recognizes languages of λ-terms that are not […]	Syntactically and Semantically Regular Languages of λ-Terms Coincide Through Logical Relations
TCS-1973	Are they NP-complete or coNP-hard too?	Invariants for One-Counter Automata with Disequality Tests
TCS-1994	Also, a number of problems remain open in Table 1, notably the 2-clock case, already notoriously difficult for reachability emptiness [2, 21].	Execution-Time Opacity Problems in One-Clock Parametric Timed Automata
TCS-1995	For instance, is there a result similar to Proposition 35 in the framework of additive powers?	Additive Word Complexity and Walnut
TCS-2006	We leave open the question of finding the precise computational complexity of the problems in Tables 2, 3 and 4.	Edit Distance of Finite State Transducers
TCS-2039	Of course, it also remains open whether the freeness problem for automaton groups [19, 7.2 b)] is decidable.	The Freeness Problem for Automaton Semigroups
TCS-2078	We do not know whether WBPP series are closed under regular support restriction, and thus also zeroness of WBPP series within a regular language is […]	Weighted Basic Parallel Processes and Combinatorial Enumeration
TCS-2090	For example, we conjecture that REWB(+) cannot recognize the language Lprime = {an : n is a prime number}.3 It is known that the language […]	Regular Expressions with Backreferences and Lookaheads Capture NLOG
TCS-2102	Giammaresi and Montalbano described an effective procedure for computing a minimal GDFA equivalent to a given GDFA [28, 27], but we do not know if […]	A Myhill-Nerode Theorem for Generalized Automata, with Applications to Pattern Matching and Compression
TCS-2107	We restrict ourselves to the order-1 case due to space considerations, but we conjecture that the proof can be extended to arbitrary order in the […]	Real-Time Higher-Order Recursion Schemes
TCS-2130	This reduction shows also that Problem 3 is NP-hard; whether this problem is in NP remains open.	Subsequence Matching and Analysis Problems for Formal Languages
TCS-2142	7 Further work We leave open the question of quantitative refinements of our decidability results.	Nonnegativity Problems for Matrix Semigroups
TCS-2158	Notable classes for which we leave the question HD = ? guidability open: – PDA/OCA/OCN/Timed automata with general ω-regular acceptance	History-Determinism vs Fair Simulation
TCS-2257	We conjecture that it is possible to directly compute the more involved nested fixpoint associated to Emerson-Lei objectives (as given in [15]) over the original […]	Faster and Smaller Solutions of Obliging Games
TCS-2294	Another open question is whether the 1-to-2 player lift holds in Σ02 : is there a Σ02 objective which is positional on arenas controlled by […]	Positionality in Σ⁰₂ and a Completeness Result
TCS-2324	Can membership in all context-free languages be maintained under changes of non-constant size?	Dynamic Complexity of Regular Languages: Big Changes, Small Work
TCS-2335	Is equivalence decidable for DetPOCA?	Parikh One-Counter Automata
TCS-2359	Characterising positionality or memory requirements for other general classes of ω-regular objectives, such as those recognised by deterministic co-Büchi automata or by deterministic automata of […]	Characterising Memory in Infinite Games
TCS-2365	Further improvements on the running time of our algorithms remain open: is it possible to get rid of the automaton?	Parameterized Algorithms for String Matching to DAGs: Funnels and Beyond
TCS-2374	For nondeterministic LimSupautomata, which cannot always be determinized, we leave the problem open.	Safety and Liveness of Quantitative Automata
TCS-2377	Hence we do not know how many outermost existential trace quantifiers would be needed in order to guarantee a different trace witness for each slice.	Hypernode Automata
TCS-2435	Identifying a suitable syntactic fragment of MSO∼,+ that captures precisely the positive NOFA-recognizable languages remains an open problem.	Positive Data Languages
TCS-2447	The class of rational recursive sequences coincides with the class of simple rational recursive sequences.	On Rational Recursive Sequences
TCS-2497	We conjecture that no Sweeping-vectorial circuit of polynomial size exists and believe that it is an interesting open question to provide lowerbounds for those circuit […]	An Algebraic Approach to Vectorial Programs
TCS-2524	We do not know if this parameter can be of independent interest.	Enumerating Regular Languages with Bounded Delay
TCS-2579	What are good bounds for further operations?	On the Work of Dynamic Constant-Time Parallel Algorithms for Regular Tree Languages and Context-Free Languages
