TCS-0903	Is the extension of Combinatory Logic by Boolean constants confluent?	RTA Open Problems
TCS-0906	Is there a notion of “complete theory” for which contextual deduction is complete for refutation of ground clauses?	RTA Open Problems
TCS-0907	Under what conditions does confluence of a normal semi-equational conditional term rewriting system imply confluence of the associated oriented system?	RTA Open Problems
TCS-0908	What are the complexities of various term ordering decision problems?	RTA Open Problems
TCS-0909	Which conditional rewrite systems are subcommutative?	RTA Open Problems
TCS-0910	Which is the coarsest relation such that its union with any rewrite relation preserves termination?	RTA Open Problems
TCS-0911	Which ordinals correspond to reduction graphs in the λ-calculus?	RTA Open Problems
TCS-0912	Which rewrite systems can be directly defined in lambda calculus?	RTA Open Problems
TCS-1092	MDP total-variation distance exactly one	The Existential Theory of the Reals as a Complexity Class: A Compendium
TCS-1167	Is the existence of a fully universal representation for a given finite relation algebra effectively decidable?	The Network Satisfaction Problem for Relation Algebras with at Most 4 Atoms
TCS-1193	We conjecture, only the current configuration would suffice for parity on GBGs.	Generalized Bidding Games: Where Bidding and Stochastic Games Meet
TCS-1197	Establishing general criteria for the encodability of reversible models remains an open problem.	On the Encodability of Reversible Process Calculi
TCS-1201	Is it possible to classify the computational complexity of the model-checking problem for all quantifier-free formulas of dependence logic D?	Disjunctions of Two Dependence Atoms
TCS-1202	We conjecture that it can, and that would render the model-checking problem decidable in that case as well.	A Logic for Fresh Labelled Transition Systems
TCS-1203	We do not know yet if another operator could help express the functor DLP as a monad lifting.	ε-Distance via Lévy-Prokhorov Lifting
TCS-1204	Also, whether extending the decidable case of Theorem 20 to two clocks preserves decidability remains open too.	Parametric Disjunctive Timed Networks
TCS-1227	Determining the precise complexity of inhabitation in the setting of system R remains an open and challenging problem.	A Bounded Parallel Intersection Type System
TCS-1228	In particular, we conjecture that the non-strict versions of the concrete categorical models in Section 7 are sound.	Proof Identity and Categorical Models of BV
TCS-1229	We do not know whether one can design a similar efficient decision procedure for the conditions in the MI setting.	New and Formalized Proofs for Right-Forward Closures and Core Matrix Interpretations
TCS-1239	Conjecture for specific mappings; for most mappings (in particular, all cases with d > 2), the conjecture remains open.	Loop Termination and Generalized Collatz Sequences
TCS-1329	Here, of course, we have to contend with full functional programming, but we conjecture that e.g. through a sensible use of monads one could potentially […]	On the Algorithmic Structure of Dialectica Realisers
TCS-1331	Similarly, in a proof-irrelevant setting, CB yields Kripke’s schema, and adding functional extensionality yields LEM, but we do not know whether CB yields LEM without […]	Not Choosing Is Still a Choice: Constructive mathematics without any choice
TCS-1371	Whether our complexity results can be maintained without graph preservation, or whether it makes the RMDP threshold problem harder, remains open for future work.	On the Complexity of Robust Markov Decision Processes and Bisimulation Metrics
TCS-1420	Let us conclude by restating the main open problem: is Cantor-Łukasiewicz set theory Łset consistent?	On the Consistency of Naive Set Theories over Substructural and Fuzzy Logics
TCS-1460	What is the largest α such that size(BAsn ) ≤ 4.5n − αm holds for every vector s?	Smaller Circuits for Bit Addition
TCS-1485	Our language is not strongly normalising, and our main goal is not theorem proving as we cannot use the language as a proof system, since […]	Towards the Type Safety of Pure Subtype Systems
TCS-1487	However, as the authors of [38, p.21] state: “[...]we do not know if canonocity holds for the standard conversion [...] because this result amounts to […]	Divide and Check: Logical Relations, No Algorithms Attached
