TCS-0023	Learning growing-size DNFs under uniform inputs	Mathematics and Computation (2018 draft)
TCS-1363	We leave as an open problem whether there exist polynomial-time algorithms that achieve the optimal error rate exp(−Cd,ε /k) under the weaker condition ε2 d […]	Rate-optimal community detection near the KS threshold via node-robust algorithms
TCS-1364	Naively inserting a robust estimator at each step fails to attain optimal rates: privatizing every iterate over- √ whelms utility (we conjecture ∼ O(1/ n) […]	Nearly Linear-Time User-Level DP-SCO with Optimal Rates
TCS-1366	Legend: (C) = characterization of which collections achieve the guarantee (otherwise achievable for all countable collections); (R) = reduction from set-based to element-based density (Theorem […]	Language Generation with Infinite Contamination
TCS-1385	Second, and related to this, the question of finding a good vtree in practice remains open.	A Canonical Generalization of OBDD
TCS-1392	We leave this problem of tightly characterizing the transition time in general dimension open for future work.	Tight Bounds for Logistic Regression with Large Stepsize Gradient Descent in Low Dimension
TCS-1393	We conjecture that this is not the case, in other words eVCdim(H) = ∞, whenever H contains even a single uncomputable hypothesis.	Recursively Enumerably Representable Classes and Computable Versions of the Fundamental Theorem of Statistical Learning
TCS-1396	First, we state the result that we conjecture may be a valid lower bound for our setting.	Truly Adapting to Adversarial Constraints in Constrained MABs
TCS-1441	Likewise, is there a variant of Littlestone dimension that characterizes the optimal mistake bound against efficient online adversaries?	Samplability Makes Learning Easier
TCS-1478	It remains open whether one can remove such constraints and achieve successful learning for all VC classes, which leads to the following open question:	Distribution-Free Sequential Prediction with Abstentions
TCS-1482	We leave as an open question whether our npoly(L/ε) CSQ lower bound can be extended to the full SQ model, or whether our problem witnesses […]	Learning and Testing Convex Functions
TCS-1500	As a direction for future work, we point out that to the best of our knowledge, it is still unknown whether there exists a tractable […]	On the Hardness of Learning Regular Expressions
TCS-1501	Our results show that while the case k = Θ(N ) remains open for submatrices, it can be rigorously analyzed for tensors in the large […]	Large Average Subtensor Problem: Ground-State, Algorithms, and Algorithmic Barriers
TCS-1506	This gives a polynomial-time algorithm when c is constant, but we leave it as an interesting open question whether the dependence on 1/c can be […]	Testing Noise Assumptions of Learning Algorithms
TCS-1539	Does there exist an adversarially robust compression scheme of size O(f (dVC )) for C?	Sample Compression Scheme Reductions
TCS-1541	Given any hypothesis class H ⊆ [0, 1]X that has finite (γ, k)-fat shattering dimension for all γ, can we construct a list hypothesis class […]	A Characterization of List Regression
TCS-1542	Can we construct general-purpose reweighting schemes (possibly employing some form of iterated multiplicative weights like AdaBoost) that do not require knowing D, but implicitly converge […]	Proofs as Explanations: Short Certificates for Reliable Predictions
TCS-1564	We conjecture the optimal query complexity of reliable active apprenticeship learning under the mixed margin condition always matches the lower bound in Theorem 12 up […]	Reliable Active Apprenticeship Learning
TCS-1575	Finding efficient ways to explore multiple discrepancy choices for globally optimal distributions remains an open challenge for future work.	Compositional Active Learning of Synchronizing Systems Through Automated Alphabet Refinement
TCS-1625	Is LearningTreeTransformations in PTime when fixing s = 1 and def r = 1?	Learning Tree Pattern Transformations
TCS-1629	Importantly, how about other activations than ReLU [34]?	Query Languages for Neural Networks
TCS-1650	What about its width and depth?	A Universal Uniform Approximation Theorem for Neural Networks
TCS-1692	Can the runtime depend exponentially only on min(|𝒜|, |ℬ|)?	Computational Intractability of Strategizing against Online Learners
TCS-1695	One natural question that remains open is to refine the rates in Item 2.	Data Selection for ERMs
TCS-1737	Even in the special case where |R| = |M|, the fixed-parameter tractability of planar GCMP when parameterized by the number |R| of robots remains open; […]	Routing Few Robots in a Crowded Network
TCS-1739	We leave as an open question whether or not there exists a polynomial time (improper) learning algorithm that obtains an O(1) volume approximation in the […]	Computing High-dimensional Confidence Sets for Arbitrary Distributions
TCS-1740	We leave it as an open question whether it is possible to improve the time-invariant construction of Lemma 12, and reduce the required dimensionality, and […]	A Theory of Learning with Autoregressive Chain of Thought
TCS-1744	However, it remains open whether our tractability results could also be lifted to this version of the problem.	The Parameterized Complexity of Learning Monadic Second-Order Logic
