TCS-0023	Learning growing-size DNFs under uniform inputs	Mathematics and Computation (2018 draft)
TCS-3450	We conjecture that for some a > 0 even (na )-local queries won’t lead to efficient distribution free algorithms for these classes.	Distribution Free Learning with Local Queries
TCS-3554	We believe that more complicated techniques beyond the scope of this paper prove a generalization to even non-computable numbers, but we leave it as an […]	Hard Problems on Random Graphs
TCS-3563	While these only serve as a first step to search for Bc-locking sequences, it remains open how these searches can be beneficial in other settings, […]	Cautious Limit Learning
TCS-3566	It thus remains open to obtain a ε−3 -complexity algorithm for general convex sets that does not depend on the dimension, or show that this […]	Faster Projection-free Online Learning
TCS-3567	We note averaging has been observed to improve sampling accuracy in a different setting Durmus et al. (2019a); we leave as an interesting open direction […]	Logsmooth Gradient Concentration and Tighter Runtimes for Metropolized Hamiltonian Monte Carlo
TCS-3587	Get tight (up to a constant factor) sample complexity bounds for the noiseless case when r > 2.	Sorted Top-k in Rounds
TCS-3588	4 Generalizations and Open Questions While we provided approximation and hardness bounds for Minimum `2 -Norm 3-Spanner, the true approximability still remains open.	Approximating the Norms of Graph Spanners
TCS-3659	Is it possible to construct A0 gradually as the learner goes through trials?	Online Non-Additive Path Learning under Full and Partial Information
TCS-3661	Ideally each KDi would be O(d), but we do not know how to produce such distributions while still getting linear sample spectral D(xi ) sparsification.	Active Regression via Linear-Sample Sparsification
TCS-3666	Designing efficient baselines is still an open problem in RL, and understanding limiting behavior of different estimators could lead to new insights.	The Gap Between Model-Based and Model-Free Methods on the Linear Quadratic Regulator: An Asymptotic Viewpoint
TCS-3668	Although we have a generalization of CDS to handle some families of curves, there are a lot of questions to invest further: For example, we […]	Consistent Digital Curved Rays and Pseudoline Arrangements
TCS-3688	The extension of the NNARS algorithm to non lower-bounded densities is still an open question, as well as the development of an optimal adaptive rejection […]	A minimax near-optimal algorithm for adaptive rejection sampling
TCS-3689	While the general relationship between NCTD and VCD remains open, it is now known that NCTD(C) is upper-bounded by VCD(C) when C is a finite […]	Optimal Collusion-Free Teaching
TCS-3691	We could not derive such bounds for distributions satisfying Dobruhsin’s condition and we do not know if such bounds apply for all classes of finite […]	Learning from Weakly Dependent Data under Dobrushin’s Condition
TCS-3692	It remains open to establish whether such gaps actually exist for specific interesting neural net classes (e.g., functions representable by a specific architecture, possibly with […]	VC Classes are Adversarially Robustly Learnable, but Only Improperly
TCS-3694	Our bounds are near-optimal for small k, but for large k ≥ Ω(n), we leave open a mysterious exponential gap.	String Matching: Communication, Circuits, and Learning
TCS-3710	We leave the derivation of (doubly-time uniform) joint concentration inequalities in this context as an open question.	Sequential change-point detection: Laplace concentration of scan statistics and non-asymptotic delay bounds
TCS-3711	On the other hand, we do not know how to improve on this algorithm even for t = 2.	Reasoning in Bayesian Opinion Exchange Networks Is PSPACE-Hard
TCS-3712	We conjecture that this gap is fundamental and every any-time algorithm would suffer from the extra log T factor.	Making the Last Iterate of SGD Information Theoretically Optimal
TCS-3759	Could it be helpful in related computational tasks such as fast Fourier transform (FFT) or sparse matrix-vector multiplication?	On the Algorithmic Power of Spiking Neural Networks
TCS-3764	Can assemblies perform learning (supervised or unsupervised)?	Random Projection in the Brain and Computation with Assemblies of Neurons
TCS-3787	We leave as open whether our unlabeled compression scheme extends to ample (a.k.a. lopsided or extremal) classes, which represent a natural and far-reaching generalization of […]	Unlabeled Sample Compression Schemes and Corner Peelings for Ample and Maximum Classes
TCS-3796	We pretend that we do not know the correspondence information, run our MMD-MA algorithm, and see how well our algorithm can align the two manifolds […]	Jointly Embedding Multiple Single-Cell Omics Measurements
TCS-3798	While this work focuses on sharpened convergence rate, there are still some important questions left: (i) It is still unknown whether SGD achieves a rate […]	Sharp Analysis for Nonconvex SGD Escaping from Saddle Points
TCS-3827	How does this play out for f : Rd → Rk in function space with ReLU networks?	How do infinite width bounded norm networks look in function space?
TCS-3908	For the MS algorithm, it remains an open question whether analogous upper bounds can be established for sampling without replacement.	Minimax Rates and Efficient Algorithms for Noisy Sorting
TCS-3911	We leave open whether a similar inapproximability result can be obtained for the other obvious generalization of bi-DSNPlanar , in which the input graph is […]	Parameterized Approximation Algorithms for Bidirected Steiner Network Problems
TCS-3926	We remark that we do not know how to prove the existence of a small c-exchange distance-r domination core (a generalization needed for r-CDS) on […]	Lossy Kernels for Connected Dominating Set on Sparse Graphs
TCS-3934	Conjectures and questions We conjecture that R EWEIGHTED PCA actually recovers the entire non-Gaussian subspace E with in polynomial time and sample complexity if we […]	Polynomial Time and Sample Complexity for Non-Gaussian Component Analysis: Spectral Methods
TCS-3935	We leave it as an open problem to understand the convergence of the iterate-averaged, constant step-size algorithm in the case of Gaussian noise (Bougerol and […]	Averaging Stochastic Gradient Descent on Riemannian Manifolds
TCS-3999	Finally, can we relate the hardness of fuzzy K-means directly to K-means?	Coresets for Fuzzy K-Means with Applications
TCS-4030	In particular, is the log-concave MLE sample-optimal for d ≥ 4?	Near-Optimal Sample Complexity Bounds for Maximum Likelihood Estimation of Multivariate Log-concave Densities
TCS-4133	We conjecture that in the setting of Assump- √ tion (A5), the lower bound is O(1/ n) as well.	Stochastic Composite Least-Squares Regression with Convergence Rate $O(1/n)$
TCS-4134	A related question which remains open, originally posed by Ben-David and Eiron Ben-David and Eiron (1998), is that of computing the self-directed learning4 mistake bound.	Inapproximability of VC Dimension and Littlestone’s Dimension
TCS-4135	Can we give evidence that no subexponential-time algorithm exists under a stronger version of Feige’s assumption?	On Learning vs. Refutation
TCS-4136	However it is an open problem whether all automatic families satisfying Angluin’s tell-tale condition are automatically learnable from one-one texts, balanced texts and exponential texts.	Automatic Learning from Repetitive Texts
TCS-4137	However, the question of whether the upper and the lower values coincide remains open.	Universality of Bayesian mixture predictors
TCS-4164	In particular, we conjecture that a learning algorithm that hypothesizes a randomly chosen consistent row uses an expected O(log n) equivalence queries with random counterexamples […]	The Power of Random Counterexamples
TCS-4165	We leave a number of open problems, most notably: (i) for alphabet sizes 2 and 3, characterize the patterns that are finitely distinguishable and determine […]	Erasing Pattern Languages Distinguishable by a Finite Number of Strings
TCS-4182	We leave it as an P open problem whether this can be done.	Exact tensor completion with sum-of-squares
TCS-4217	How do fixed network motifs such as WTA circuits interact with more flexible ‘learning’ networks?	Computational Tradeoffs in Biological Neural Networks: Self-Stabilizing Winner-Take-All Networks
TCS-4219	What are the tradeoffs, if any, between the number of gates and the number of ancilla bits?	The Classification of Reversible Bit Operations
TCS-4256	The challenge with using this approach is that the label of the samples is not known for the classification, i.e., | | given (x, f […]	The Sample Complexity of Optimizing a Convex Function
TCS-4265	Can other proof techniques from circuit complexity, such as Razborov’s method of approximations for monotone circuit lower bounds [35, 36] or the “polynomial method” for […]	What Circuit Classes Can Be Learned with Non-Trivial Savings?
TCS-4276	Alternatively, can one prove a lower bound of Ωpd T q?	Online Learning with Low Rank Experts
TCS-4289	Finally, we leave open the question whether Hitting Set is even W [2]-hard on set systems of bounded VC-dimension.	Hitting Set for Hypergraphs of Low VC-dimension
TCS-4328	Partition a set of n vertices at random into sets A, B.	Spectral thresholds in the bipartite stochastic block model
TCS-4333	There are a number of open questions, a few of which we list here: 1. (Collision Probability) For the collision probability question, what is the […]	Stochastic Streams: Sample Complexity vs. Space Complexity
TCS-4355	We suspect p that the necessary blowup in the ε parameter is closer to Θ n ln(1/β) as with (ε, 0)-differential privacy, but leave a […]	Adaptive Learning with Robust Generalization Guarantees
TCS-4375	We conjecture that such an algorithm is possible, and our mildly super-polynomial runtime may be viewed as an indication of the plausibility of this conjecture.	Properly Learning Poisson Binomial Distributions in Almost Polynomial Time
TCS-4379	Finally, what else can we hope to learn about the most promising rounding techniques from properties of the combinatorial problem?	Oblivious Rounding and the Integrality Gap
TCS-4430	Furthermore, we will investigate the fixed-budget setting, for which we conjecture that P (ât 6= 1) & exp − t/T∗ (µ) with	Optimal Best Arm Identification with Fixed Confidence
TCS-4450	Our modified benchmark amounts to eliminating unreciprocated altruism: we assume that Alice has roughly as many opportunities5 to help Bob as Bob has to help […]	Provably manipulation-resistant reputation systems
TCS-4456	Determining the exact approximation factor for comparator-learning submodular functions is an open question, as there is a gap between the Õ(n1/2 ) upper bound and […]	Learning Combinatorial Functions from Pairwise Comparisons
TCS-4496	For example, are there losses that are H-mixable but not Sα -mixable, or vice-versa?	Generalized Mixability via Entropic Duality
TCS-4497	We must retain the error term as we do not know a priori whether the error derivative term has a complex component or not.	Max vs Min: Tensor Decomposition and ICA with nearly Linear Sample Complexity
TCS-4520	This is essentially due to the smoothness of the squared loss, and we do not know if it is tight.	On the Complexity of Learning with Kernels
TCS-4555	Finally, can we analyse energy minimization in other contexts as well?	Simple, Efficient, and Neural Algorithms for Sparse Coding
TCS-4580	Note that, a priori, we do not know whether i = 1 or i = 2.	Faster and Sample Near-Optimal Algorithms for Proper Learning Mixtures of Gaussians
TCS-4581	Characterizing the set of combining functions that induce hard problems remains an open problem.	Online Learning with Composite Loss Functions
TCS-4592	What is the optimal time complexity for agnostically learning halfspaces on the Gaussian distribution?	Embedding Hard Learning Problems Into Gaussian Space
TCS-4604	However, establishing tight information theoretic lower bound on n (w.r.t. `, r) is still an open problem. 2	Learning Mixtures of Discrete Product Distributions using Spectral Decompositions
TCS-4607	Some of our lower bounds nearly match the best known upper bounds and we conjecture that the rest of our bounds can be improved as […]	The Complexity of Learning Halfspaces using Generalized Linear Methods
TCS-4627	We conjecture that this dependence can be lifted with a more sophisticated way of tracking qt .	A near-optimal algorithm for finite partial-monitoring games against adversarial opponents
TCS-4628	We believe this issue is worthy of further exploration and leave it as an open problem.	Passive Learning with Target Risk
TCS-4629	In this last framework, determining even slow (or worst case) convergence rates is still an open problem.	Approachability, fast and slow
TCS-4643	However, what are the ingredients needed for the method to succeed in general?	Learning a set of directions
TCS-4651	Yet the general problem of whether there are wide natural automatic classes for which mind change speed-up is possible remains open.	Mind Change Speed-up for Learning Languages from Positive Data
TCS-4663	It remains an open question if the exploration bound for our algorithm is optimal.	Autonomous Exploration For Navigating In MDPs
TCS-4672	How large can P BI(H) be when H is a class of functions from a domain X to a range Y of cardinality k?	Multiclass Learnability and the ERM principle
TCS-4683	Whether fast rates results can be proved in the dimension free regime is an interesting √ question we leave open.	The Sample Complexity of Dictionary Learning
TCS-4687	In particular, we do not know whether the less favorable dependence is a consequence of not relying on zero-mean i.i.d. noise, or not relying on […]	Concentration-Based Guarantees for Low-Rank Matrix Reconstruction
TCS-4690	Can the doubly exponential dependence on d in Theorem 5 be improved?	Analysis of Agglomerative Clustering
TCS-4792	Sample Compression Scheme Reductions — Open Problem 5	Sample Compression Scheme Reductions
TCS-4807	Open problem: Direct Sums in Learning Theory — Open Question 1	Open problem: Direct Sums in Learning Theory
TCS-4819	Open Problem: Learning sparse linear concepts by priming the features — Open Problem 2	Open Problem: Learning sparse linear concepts by priming the features
TCS-4870	Beyond Regularity: Simple Versus Optimal Mechanisms, Revisited — Explicit open question on PDF page 5	Beyond Regularity: Simple Versus Optimal Mechanisms, Revisited
TCS-4902	Stability and Replicability in Learning — Explicit open question on PDF page 5	Stability and Replicability in Learning
TCS-4912	Sequential prediction under log-loss with side information — Open Problem 2	Sequential prediction under log-loss with side information
TCS-4921	Collision Resistance of Single-Layer Neural Nets — Unresolved-question passage on page 7	Collision Resistance of Single-Layer Neural Nets
TCS-4949	Open Problem: Tensor Decompositions: Algorithms up to the Uniqueness Threshold? — Open Problem 4	Open Problem: Tensor Decompositions: Algorithms up to the Uniqueness Threshold?
TCS-4966	Discriminative Learning of Substitution Matrices and Gap Penalties for Pairwise Alignment of Biological Sequences — Explicit open question on PDF page 7	Discriminative Learning of Substitution Matrices and Gap Penalties for Pairwise Alignment of Biological Sequences
TCS-4999	Dual VC Dimension Obstructs Sample Compression by Embeddings — Unresolved-question passage on page 6	Dual VC Dimension Obstructs Sample Compression by Embeddings
TCS-5001	Fast, blind, and accurate: Tuning-free sparse regression with global linear convergence — Explicit open question on PDF page 1	Fast, blind, and accurate: Tuning-free sparse regression with global linear convergence
TCS-5002	Distributional PAC-Learning from Nisan’s Natural Proofs — Explicit open question on PDF page 11	Distributional PAC-Learning from Nisan’s Natural Proofs
TCS-5003	Provable Accelerated Convergence of Nesterov’s Momentum for Deep ReLU Neural Networks — Explicit open question on PDF page 1	Provable Accelerated Convergence of Nesterov’s Momentum for Deep ReLU Neural Networks
TCS-5017	Learning with Monotone Adversarial Corruptions — Open Question 1	Learning with Monotone Adversarial Corruptions
TCS-5027	A Characterization of Multiclass Learnability — Unresolved-question passage on page 11	A Characterization of Multiclass Learnability
TCS-5028	On the Lower Bound of Minimizing Polyak-Łojasiewicz functions — Explicit open question on PDF page 4	On the Lower Bound of Minimizing Polyak-Łojasiewicz functions
TCS-5029	Structural Parameterizations of b-Coloring — Explicit open question on PDF page 3	Structural Parameterizations of b-Coloring
TCS-5043	Sorted Top-k in Rounds — Open Problem 7	Sorted Top-k in Rounds
TCS-5059	The Role of Interactivity in Structured Estimation — Explicit open question on PDF page 5	The Role of Interactivity in Structured Estimation
TCS-5060	Learning to Control Linear Systems can be Hard — Explicit open question on PDF page 9	Learning to Control Linear Systems can be Hard
TCS-5061	On characterizations of learnability with computable learners — Explicit open question on PDF page 6	On characterizations of learnability with computable learners
TCS-5075	Better Diameter Algorithms for Bounded VC-Dimension Graphs and Geometric Intersection Graphs — Open Problem 3	Better Diameter Algorithms for Bounded VC-Dimension Graphs and Geometric Intersection Graphs
TCS-5086	Query Languages for Machine-Learning Models (Invited Talk) — Unresolved-question passage on page 16	Query Languages for Machine-Learning Models (Invited Talk)
TCS-5087	Adversarially Robust Low Dimensional Representations — Explicit open question on PDF page 7	Adversarially Robust Low Dimensional Representations
TCS-5088	Learning Intersections of Two Margin Halfspaces under Factorizable Distributions — Explicit open question on PDF page 5	Learning Intersections of Two Margin Halfspaces under Factorizable Distributions
TCS-5089	Statistical guarantees for generative models without domination — Explicit open question on PDF page 9	Statistical guarantees for generative models without domination
TCS-5090	On the Structure of Learnability Beyond P/Poly — Explicit open question on PDF page 4	On the Structure of Learnability Beyond P/Poly
TCS-5118	Majority-of-Three: The Simplest Optimal Learner? — Explicit open question on PDF page 4	Majority-of-Three: The Simplest Optimal Learner?
TCS-5119	Information Theoretic Optimal Learning of Gaussian Graphical Models — Explicit open question on PDF page 1	Information Theoretic Optimal Learning of Gaussian Graphical Models
TCS-5120	Making Progress Based on False Discoveries — Explicit open question on PDF page 8	Making Progress Based on False Discoveries
TCS-5121	On Instance-Optimal Algorithms for a Generalization of Nuts and Bolts and Generalized Sorting — Explicit open question on PDF page 7	On Instance-Optimal Algorithms for a Generalization of Nuts and Bolts and Generalized Sorting
TCS-5147	Optimal Collusion-Free Teaching — Explicit open question on PDF page 13	Optimal Collusion-Free Teaching
TCS-5148	Sample Compression for Real-Valued Learners — Explicit open question on PDF page 1	Sample Compression for Real-Valued Learners
TCS-5153	VC Classes are Adversarially Robustly Learnable, but Only Improperly — Explicit open question on PDF page 10	VC Classes are Adversarially Robustly Learnable, but Only Improperly
TCS-5154	Improved Generalization Bounds for Robust Learning — Explicit open question on PDF page 12	Improved Generalization Bounds for Robust Learning
TCS-5155	A Unified Characterization of Private Learnability via Graph Theory — Unresolved-question passage on page 13	A Unified Characterization of Private Learnability via Graph Theory
TCS-5156	Can Adversarially Robust Learning LeverageComputational Hardness? — Explicit open question on PDF page 12	Can Adversarially Robust Learning LeverageComputational Hardness?
TCS-5167	Invited Open Problem: Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent? — Open Question 1	Invited Open Problem: Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent?
TCS-5178	Algorithmic Regularization in Over-parameterized Matrix Sensing and Neural Networks with Quadratic Activations — Explicit open question on PDF page 3	Algorithmic Regularization in Over-parameterized Matrix Sensing and Neural Networks with Quadratic Activations
TCS-5179	Learning GMMs with Nearly Optimal Robustness Guarantees — Explicit open question on PDF page 4	Learning GMMs with Nearly Optimal Robustness Guarantees
TCS-5180	Improved Inapproximability of VC Dimension and Littlestone’s Dimension via (Unbalanced) Biclique — Explicit open question on PDF page 2	Improved Inapproximability of VC Dimension and Littlestone’s Dimension via (Unbalanced) Biclique
TCS-5181	An Efficient Minimax Optimal Estimator For Multivariate Convex Regression — Explicit open question on PDF page 3	An Efficient Minimax Optimal Estimator For Multivariate Convex Regression
TCS-5211	A Dimension-free Computational Upper-bound for Smooth Optimal Transport Estimation — Explicit open question on PDF page 7	A Dimension-free Computational Upper-bound for Smooth Optimal Transport Estimation
TCS-5212	Depth and Feature Learning are Provably Beneficial for Neural Network Discriminators — Unresolved-question passage on page 13	Depth and Feature Learning are Provably Beneficial for Neural Network Discriminators
TCS-5213	A General Characterization of the Statistical Query Complexity — Explicit open question on PDF page 12	A General Characterization of the Statistical Query Complexity
TCS-5214	Extended Learning Graphs for Triangle Finding — Explicit open question on PDF page 1	Extended Learning Graphs for Triangle Finding
TCS-5215	Reliably Learning the ReLU in Polynomial Time — Explicit open question on PDF page 2	Reliably Learning the ReLU in Polynomial Time
TCS-5247	Learning Multinomial Logits in O(n log n) Time — Explicit open question on PDF page 1	Learning Multinomial Logits in O(n log n) Time
TCS-5248	Spectral thresholds in the bipartite stochastic block model — Explicit open question on PDF page 8	Spectral thresholds in the bipartite stochastic block model
TCS-5249	Costly Zero Order Oracles — Unresolved-question passage on page 12	Costly Zero Order Oracles
TCS-5281	Open Problem: Monotonicity of Learning — Unresolved-question passage on page 3	Open Problem: Monotonicity of Learning
TCS-5297	Near-Optimal Herding — Explicit open question on PDF page 5	Near-Optimal Herding
TCS-5298	The Gap Between Model-Based and Model-Free Methods on the Linear Quadratic Regulator: An Asymptotic Viewpoint — Unresolved-question passage on page 11	The Gap Between Model-Based and Model-Free Methods on the Linear Quadratic Regulator: An Asymptotic Viewpoint
TCS-5336	Estimation of Extreme Values and Associated Level Sets of a Regression Function via Selective Sampling — Explicit open question on PDF page 7	Estimation of Extreme Values and Associated Level Sets of a Regression Function via Selective Sampling
TCS-5337	Dealing with Range Anxiety in Mean Estimation via Statistical Queries — Explicit open question on PDF page 3	Dealing with Range Anxiety in Mean Estimation via Statistical Queries
TCS-5358	Learning DNF Expressions from Fourier Spectrum — Explicit open question on PDF page 1	Learning DNF Expressions from Fourier Spectrum
TCS-5381	Open Problem: Best Arm Identification: Almost Instance-Wise Optimality and the Gap Entropy Conjecture — Conjecture 3.2	Open Problem: Best Arm Identification: Almost Instance-Wise Optimality and the Gap Entropy Conjecture
TCS-5382	An Exponential Lower Bound for Spectral Density Estimation on Unweighted Graphs — Explicit open question on PDF page 3	An Exponential Lower Bound for Spectral Density Estimation on Unweighted Graphs
TCS-5383	Competing with the Empirical Risk Minimizer in a Single Pass — Explicit open question on PDF page 5	Competing with the Empirical Risk Minimizer in a Single Pass
TCS-5384	Nearly Linear-Time User-Level DP-SCO with Optimal Rates — Unresolved-question passage on page 13	Nearly Linear-Time User-Level DP-SCO with Optimal Rates
TCS-5385	On the Complexity of Learning with Kernels — Unresolved-question passage on page 11	On the Complexity of Learning with Kernels
TCS-5416	Learning Tree Pattern Transformations — Unresolved-question passage on page 16	Learning Tree Pattern Transformations
TCS-5442	A Logarithmic Integrality Gap for Generalizations of Quasi-Bipartite Instances of Directed Steiner Tree — Explicit open question on PDF page 3	A Logarithmic Integrality Gap for Generalizations of Quasi-Bipartite Instances of Directed Steiner Tree
TCS-5443	Mixtures of Gaussians are Privately Learnable with a Polynomial Number of Samples — Explicit open question on PDF page 6	Mixtures of Gaussians are Privately Learnable with a Polynomial Number of Samples
TCS-5444	Finer-Grained Hardness of Kernel Density Estimation — Explicit open question on PDF page 10	Finer-Grained Hardness of Kernel Density Estimation
TCS-5445	Sparse Random Hypergraphs: Non-Backtracking Spectra and Community Detection — Explicit open question on PDF page 6	Sparse Random Hypergraphs: Non-Backtracking Spectra and Community Detection
TCS-5446	Tight bounds for maximum $\ell_1$-margin classifiers — Explicit open question on PDF page 5	Tight bounds for maximum $\ell_1$-margin classifiers
TCS-5478	Reaching Goals is Hard: Settling the Sample Complexity of the Stochastic Shortest Path — Explicit open question on PDF page 13	Reaching Goals is Hard: Settling the Sample Complexity of the Stochastic Shortest Path
TCS-5479	Robust Empirical Risk Minimization with Tolerance — Explicit open question on PDF page 1	Robust Empirical Risk Minimization with Tolerance
TCS-5508	On the Asymptotics of Self-Supervised Pre-training: Two-Stage M-Estimation and Representation Symmetry — Explicit open question on PDF page 1	On the Asymptotics of Self-Supervised Pre-training: Two-Stage M-Estimation and Representation Symmetry
TCS-5509	Language Generation with Infinite Contamination — Unresolved-question passage on page 13	Language Generation with Infinite Contamination
TCS-5510	Iterated Vector Fields and Conservatism, with Applications to Federated Learning — Explicit open question on PDF page 6	Iterated Vector Fields and Conservatism, with Applications to Federated Learning
TCS-5511	A Theory of PAC Learnability of Partial Concept Classes — Unresolved-question passage on page 9	A Theory of PAC Learnability of Partial Concept Classes
TCS-5531	Open Problem: How fast can a multiclass test set be overfit? — Open Problem 2.1	Open Problem: How fast can a multiclass test set be overfit?
TCS-5545	Open Problem: Are all VC-classes CPAC learnable? — Unresolved-question passage on page 4	Open Problem: Are all VC-classes CPAC learnable?
TCS-5546	Near-Optimal Rates for O(1)-Smooth DP-SCO with a Single Epoch and Large Batches — Explicit open question on PDF page 6	Near-Optimal Rates for O(1)-Smooth DP-SCO with a Single Epoch and Large Batches
TCS-5547	Open Problem: Structure-Agnostic Minimax Risk for Partial Linear Model — Explicit open question on PDF page 1	Open Problem: Structure-Agnostic Minimax Risk for Partial Linear Model
TCS-5548	Breaking O(nr) for Matroid Intersection — Explicit open question on PDF page 3	Breaking O(nr) for Matroid Intersection
TCS-5549	Impossible Tuning Made Possible: A New Expert Algorithm and Its Applications — Unresolved-question passage on page 14	Impossible Tuning Made Possible: A New Expert Algorithm and Its Applications
TCS-5584	Random Separating Hyperplane Theorem and Learning Polytopes — Unresolved-question passage on page 16	Random Separating Hyperplane Theorem and Learning Polytopes
TCS-5585	Optimistic Information Directed Sampling — Unresolved-question passage on page 12	Optimistic Information Directed Sampling
TCS-5607	Computational Limitations in Robust Classification and Win-Win Results — Explicit open question on PDF page 7	Computational Limitations in Robust Classification and Win-Win Results
TCS-5608	Geodesically convex $M$-estimation in metric spaces — Explicit open question on PDF page 7	Geodesically convex $M$-estimation in metric spaces
TCS-5609	On Classification-Calibration of Gamma-Phi Losses — Explicit open question on PDF page 5	On Classification-Calibration of Gamma-Phi Losses
TCS-5610	Near-optimal fitting of ellipsoids to random points — Explicit open question on PDF page 8	Near-optimal fitting of ellipsoids to random points
TCS-5654	Tight Algorithmic Applications of Clique-Width Generalizations — Explicit open question on PDF page 3	Tight Algorithmic Applications of Clique-Width Generalizations
TCS-5655	Lower Bounds on the Total Variation Distance Between Mixtures of Two Gaussians — Explicit open question on PDF page 6	Lower Bounds on the Total Variation Distance Between Mixtures of Two Gaussians
TCS-5656	A Homological Theory of Functions: Nonuniform Boolean Complexity Separation and VC Dimension Bound Via Algebraic Topology, and a Homological Farkas Lemma — Explicit open question on PDF page 6	A Homological Theory of Functions: Nonuniform Boolean Complexity Separation and VC Dimension Bound Via Algebraic Topology, and a Homological Farkas Lemma
TCS-5688	A Variant of the VC-Dimension with Applications to Depth-3 Circuits — Unresolved-question passage on page 17	A Variant of the VC-Dimension with Applications to Depth-3 Circuits
TCS-5710	When can we rank well from comparisons of O(n\log(n)) non-actively chosen pairs? — Explicit open question on PDF page 12	When can we rank well from comparisons of O(n\log(n)) non-actively chosen pairs?
TCS-5743	Minimax Fixed-Design Linear Regression — Explicit open question on PDF page 6	Minimax Fixed-Design Linear Regression
TCS-5744	Achieving the Bayes Error Rate in Stochastic Block Model by SDP, Robustly — Explicit open question on PDF page 3	Achieving the Bayes Error Rate in Stochastic Block Model by SDP, Robustly
TCS-5788	A Combinatorial Approach to Robust PCA — Unresolved-question passage on page 20	A Combinatorial Approach to Robust PCA
TCS-5840	Improved rates for prediction and identification of partially observed linear dynamical systems — Explicit open question on PDF page 7	Improved rates for prediction and identification of partially observed linear dynamical systems
TCS-5886	Exact Recovery of Sparsely-Used Dictionaries — Explicit open question on PDF page 5	Exact Recovery of Sparsely-Used Dictionaries
TCS-5956	Recovering Structured Probability Matrices — Explicit open question on PDF page 1	Recovering Structured Probability Matrices
TCS-6067	Collaborative Filtering with the Trace Norm: Learning, Bounding, and Transducing — Explicit open question on PDF page 7	Collaborative Filtering with the Trace Norm: Learning, Bounding, and Transducing
TCS-6305	Towards an Atlas of Computational Learning Theory — Explicit open question on PDF page 6	Towards an Atlas of Computational Learning Theory
