source_url,collection,source_title,years,entry_count
https://automata.exchange/25.1-complexity-of-generalised-reachability-games-with-target-sets-of-size-2/,Automata Exchange,,2025,1
https://automata.exchange/25.10-fine-grained-complexity-for-vas-boundedness/,Automata Exchange,,2025,1
https://automata.exchange/25.11-logical-characterisation-of-deterministic-buchi-register-automata/,Automata Exchange,,2025,1
https://automata.exchange/25.12-complexity-of-reachability-in-fixed-dimensional-continuous-vass/,Automata Exchange,,2025,1
https://automata.exchange/25.13-learning-1-dta/,Automata Exchange,,2025,1
https://automata.exchange/25.14-complexity-of-explorability-games-on-temporal-graphs/,Automata Exchange,,2025,1
https://automata.exchange/25.15-complexity-of-maximising-reachability-for-target-sets-of-size-1/,Automata Exchange,,2025,1
https://automata.exchange/25.16-normal-closure-equivalence-of-raag--and-counter-automata/,Automata Exchange,,2025,1
https://automata.exchange/25.17-tree-automata-with-constraints-on-infinite-trees/,Automata Exchange,,2025,1
https://automata.exchange/25.18-lower-bound-for-the-decision-of-guidability/,Automata Exchange,,2025,1
https://automata.exchange/25.19-complete-techniques-for-deducing-fair-almost-sure-termination/,Automata Exchange,,2025,1
https://automata.exchange/25.2-permissive-strategies-for-reachability-games/,Automata Exchange,,2025,1
https://automata.exchange/25.20-on-an-equivalence-between-finitely-many-tokens-and-one-invisible-token/,Automata Exchange,,2025,1
https://automata.exchange/25.21-simulation-decidability-in-gap-order-constraint-systems/,Automata Exchange,,2025,1
https://automata.exchange/25.22-fine-grained-complexity-of-omega-automata-inclusion/,Automata Exchange,,2025,1
https://automata.exchange/25.23-complexity-of-deciding-conjugacy-of-rational-relations/,Automata Exchange,,2025,1
https://automata.exchange/25.24-classes-of-languages-with-objective-independent-memory/,Automata Exchange,,2025,1
https://automata.exchange/25.25-do-probabilities-matter-for-resolving-nondeterminism-/,Automata Exchange,,2025,1
https://automata.exchange/25.26-memory-requirements-of-subgame-perfect-equilibria-in-reachability-games/,Automata Exchange,,2025,1
https://automata.exchange/25.27-increasing-unbounded-simple-components/,Automata Exchange,,2025,1
https://automata.exchange/25.28-a-streaming-machine-model-for-polyregular-functions/,Automata Exchange,,2025,1
https://automata.exchange/25.29-left-quotient-operator-on-regular-expressions/,Automata Exchange,,2025,1
https://automata.exchange/25.3-relative-degree-for-rational-series/,Automata Exchange,,2025,1
https://automata.exchange/25.4-efficient-lrs-evaluation/,Automata Exchange,,2025,1
https://automata.exchange/25.5-commutative-polynomial-automata-series/,Automata Exchange,,2025,1
https://automata.exchange/25.6-fine-grained-complexity-of-language-emptiness-for-deterministic-pda/,Automata Exchange,,2025,1
https://automata.exchange/25.7-strong-subgame-perfect-equilibria/,Automata Exchange,,2025,1
https://automata.exchange/25.8-semilinearity-of-2-bvass-backward-reachability-set/,Automata Exchange,,2025,1
https://automata.exchange/25.9-reachability-in-low-dimensional-vass/,Automata Exchange,,2025,1
https://doi.org/10.4230/DagRep.1.2.30,Dagstuhl Reports,Theory and Applications of Graph Searching Problems (GRASTA 2011),2011,10
https://doi.org/10.4230/DagRep.1.2.47,Dagstuhl Reports,Combinatorial and Algorithmic Aspects of Sequence Processing,2011,4
https://doi.org/10.4230/DagRep.1.2.67,Dagstuhl Reports,Packing and Scheduling Algorithms for Information and Communication Services,2011,5
https://doi.org/10.4230/DagRep.1.5.29,Dagstuhl Reports,Exploiting graph structure to cope with hard problems,2011,11
https://doi.org/10.4230/DagRep.10.2.50,Dagstuhl Reports,Scheduling,2020,1
https://doi.org/10.4230/DagRep.11.1.1,Dagstuhl Reports,Scalable Data Structures,2021,3
https://doi.org/10.4230/DagRep.11.10.57,Dagstuhl Reports,Unambiguity in Automata Theory,2021,10
https://doi.org/10.4230/DagRep.11.10.72,Dagstuhl Reports,Descriptive Set Theory and Computable Topology,2021,2
https://doi.org/10.4230/DagRep.11.3.16,Dagstuhl Reports,"Temporal Graphs: Structure, Algorithms, Applications",2021,4
https://doi.org/10.4230/DagRep.11.4.1,Dagstuhl Reports,Computational Geometry,2021,3
https://doi.org/10.4230/DagRep.11.6.82,Dagstuhl Reports,Parameterized Complexity in Graph Drawing,2021,1
https://doi.org/10.4230/DagRep.12.1.101,Dagstuhl Reports,Finite and Algorithmic Model Theory,2022,2
https://doi.org/10.4230/DagRep.12.11.109,Dagstuhl Reports,Vertex Partitioning in Graphs: From Structure to Algorithms,2022,4
https://doi.org/10.4230/DagRep.12.11.28,Dagstuhl Reports,Computational Social Dynamics,2022,5
https://doi.org/10.4230/DagRep.12.11.45,Dagstuhl Reports,Dynamic Graph Algorithms,2022,7
https://doi.org/10.4230/DagRep.12.2.17,Dagstuhl Reports,Computation and Reconfiguration in Low-Dimensional Topological Spaces,2022,4
https://doi.org/10.4230/DagRep.12.2.87,Dagstuhl Reports,Theory of Randomized Optimization Heuristics,2022,1
https://doi.org/10.4230/DagRep.12.7.180,Dagstuhl Reports,Algorithmic Aspects of Information Theory,2022,35
https://doi.org/10.4230/DagRep.13.2.183,Dagstuhl Reports,Algorithmic Foundations of Programmable Matter,2023,6
https://doi.org/10.4230/DagRep.13.3.17,Dagstuhl Reports,Computational Complexity of Discrete Problems,2023,1
https://doi.org/10.4230/DagRep.13.3.49,Dagstuhl Reports,"Pattern Avoidance, Statistical Mechanics and Computational Complexity",2023,2
https://doi.org/10.4230/DagRep.13.4.58,Dagstuhl Reports,New Frontiers of Parameterized Complexity in Graph Drawing,2023,10
https://doi.org/10.4230/DagRep.13.5.165,Dagstuhl Reports,Computational Geometry,2023,5
https://doi.org/10.4230/DagRep.13.7.96,Dagstuhl Reports,Parameterized Approximation: Algorithms and Hardness,2023,4
