0834 Estimating a Graph's Degree Distribution | Sublinear.info
5355 Deleting and Testing Forbidden Patterns in Multi-Dimensional Arrays — Explicit open question on PDF page 3 / Whether tolerant testers exist for almost homogenous patterns of dimension larger than 1 is an open question. | Deleting and Testing Forbidden Patterns in Multi-Dimensional Arrays
5356 Testing k-Monotonicity — Explicit open question on PDF page 7 / We conjecture that there exists a chain tester for k-monotonicity that succeeds with probability d−O(k) . | Testing k-Monotonicity
5357 Neuro-RAM Unit with Applications to Similarity Testing and Compression in Spiking Neural Networks — Explicit open question on PDF page 6 / It is an open question if there are any problems which require using the full power of the sigmoidal probability function. | Neuro-RAM Unit with Applications to Similarity Testing and Compression in Spiking Neural Networks
5426 Testing Distributions of Huge Objects — Open Problem 1.7 / (a more general challenge): For which properties of distributions that are label-invariant over their support does it hold that testing them in the DoHO model […] | Testing Distributions of Huge Objects
5439 Testing Linearity against Non-Signaling Strategies — Explicit open question on PDF page 2 / Perhaps surprisingly, analyzing this tester is far from simple, and a tight characterization of its acceptance probability is still an open problem. | Testing Linearity against Non-Signaling Strategies
5440 The Subgraph Testing Model — Unresolved-question passage on page 10 / What is the complexity of testing the Eulerian property in any base graph of bounded degree? | The Subgraph Testing Model
5502 Real Stability Testing — Unresolved-question passage on page 14 / Is there an algorithm for testing stability of bivariate polynomials with complex coefficients? | Real Stability Testing
5541 A Distribution Testing Approach to Clustering Distributions — Unresolved-question passage on page 12 / While we have provided an optimality result for d-clustering with d = O(1), determining the optimal dependence on the number of clusters d remains an […] | A Distribution Testing Approach to Clustering Distributions
5542 Algorithms for Finite Group Epimorphism Testing — Explicit open question on PDF page 2 / Unlike isomorphism problems, we do not know whether GpEpi is in coAM (though the quasi-polynomial-time upper bound nonetheless implies that it is not NP-complete unless […] | Algorithms for Finite Group Epimorphism Testing
5632 Support Size Estimation: The Power of Conditioning — Conjecture 3 / Any algorithm that, given COND-EVAL access to a distribution D on [n] |supp(D)| within a multiplicative (1 + ε)-factor with probability approximates the support size […] | Support Size Estimation: The Power of Conditioning
5698 Canonization for Bounded and Dihedral Color Classes in Choiceless Polynomial Time — Explicit open question on PDF page 2 / There is a notable class for which we have polynomial-time isomorphism testing and canonization algorithms, but for which we do not know how to canonize […] | Canonization for Bounded and Dihedral Color Classes in Choiceless Polynomial Time
5725 Lasso with Latents: Efficient Estimation, Covariate Rescaling, and Computational-Statistical Gaps — Explicit open question on PDF page 6 / We do not know if this lower bound is tight for learning GGMs (the true computational-statistical gap may be much larger), but it is in […] | Lasso with Latents: Efficient Estimation, Covariate Rescaling, and Computational-Statistical Gaps
5760 Sublinear Time Eigenvalue Approximation via Random Sampling — Explicit open question on PDF page 9 / Outside the ε dependence, it is unknown if full eigenspectrum approximation can be performed with sample complexity independent of the matrix size n. [5] achieve […] | Sublinear Time Eigenvalue Approximation via Random Sampling
5800 Flipping out with Many Flips: Hardness of Testing k-Monotonicity — Explicit open question on PDF page 5 / The current strong lower bounds for testing monotonicity adaptively [25, 24, 5] come polynomially close to the one-sided error upper bounds [43], yet the question […] | Flipping out with Many Flips: Hardness of Testing k-Monotonicity
5896 Isomorphism Testing Parameterized by Genus and Beyond — Explicit open question on PDF page 1 / While polynomial-time isomorphism tests are known for a large variety of restricted graph classes (see, e.g., [4, 7, 9, 11, 18, 24]), for several important […] | Isomorphism Testing Parameterized by Genus and Beyond
5934 Testing Polynomials for Vanishing on Cartesian Products of Planar Point Sets — Explicit open question on PDF page 5 / Although Chan’s technique results in a slightly subquadratic algorithm in the RAM model, and is also claimed to yield a truly subquadratic algorithm in the […] | Testing Polynomials for Vanishing on Cartesian Products of Planar Point Sets
5935 Testing Small Set Expansion in General Graphs — Unresolved-question passage on page 10 / We stress here that if the non-uniform replacement product with rotation map of G is used (see Section 4.4), then the neighbor of (u, i) […] | Testing Small Set Expansion in General Graphs
6017 Testing Bayesian Networks — Explicit open question on PDF page 19 / As is the case when comparing unknown discrete distributions on [n], we have the difficulty that we do not know how to scale our approximations […] | Testing Bayesian Networks
6018 Towards a Topology-Shape-Metrics Framework for Ortho-Radial Drawings — Unresolved-question passage on page 12 / However, this may require an exponential number of tests and it is unknown whether testing the existence of a monotone cycle can be done in […] | Towards a Topology-Shape-Metrics Framework for Ortho-Radial Drawings
6042 An Adaptivity Hierarchy Theorem for Property Testing — Unresolved-question passage on page 19 / For ` < k, what upper bound can we obtain on the query complexity q 0 of the best (`, q 0 )-round-adaptive tester for […] | An Adaptivity Hierarchy Theorem for Property Testing
6043 Learning and Testing Junta Distributions — Explicit open question on PDF page 5 / Similar extensions have been achieved in the functional setting with appropriate generalizations of the Fourier analysis tools used in the Boolean domain, and it remains […] | Learning and Testing Junta Distributions
6204 Testing versus proving in climate impact research — Unresolved-question passage on page 12 / Consider, for example, that in order to implement an optimization method, one has to specify exactly what is meant by “optimization”: does the method return […] | Testing versus proving in climate impact research
6393 A Chasm Between Identity and Equivalence Testing with Conditional Queries — Explicit open question on PDF page 3 / They also obtain an Ω(log log n) lower bound for this problem, and leave open the possibility of improving this lower bound up to a […] | A Chasm Between Identity and Equivalence Testing with Conditional Queries
6630P Characterizing polynomially testable hereditary graph properties | Research reference · arXiv 2508.16878
6672P Sublinear testing of bounded-degree graph isomorphism | Open Problems in Testing Graph Properties — Oded Goldreich
